id,identifier,name,flavor_text,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
1,pound,Pound,The target is physically pounded with a long tail a foreleg or the like.,1,1,40,35,100,0,10,2,1,,5,1,5
2,karate-chop,Karate Chop,The target is attacked with a sharp chop. Critical hits land more easily.,1,2,50,25,100,0,10,2,44,,5,2,5
3,double-slap,Double Slap,The target is slapped repeatedly back and forth two to five times in a row.,1,1,15,10,85,0,10,2,30,,5,10,7
4,comet-punch,Comet Punch,The target is hit with a flurry of punches that strike two to five times in a row.,1,1,18,15,85,0,10,2,30,,5,12,7
5,mega-punch,Mega Punch,The target is slugged by a punch thrown with muscle-packed power.,1,1,80,20,85,0,10,2,1,,5,1,18
6,pay-day,Pay Day,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.,1,1,40,20,100,0,10,2,35,,4,11,23
7,fire-punch,Fire Punch,The target is punched with a fiery fist. This may also leave the target with a burn.,1,10,75,15,100,0,10,2,5,10,2,1,17
8,ice-punch,Ice Punch,The target is punched with an icy fist. This may also leave the target frozen.,1,15,75,15,100,0,10,2,6,10,2,1,17
9,thunder-punch,Thunder Punch,The target is punched with an electrified fist. This may also leave the target with paralysis.,1,13,75,15,100,0,10,2,7,10,1,1,17
10,scratch,Scratch,Hard pointed sharp claws rake the target to inflict damage.,1,1,40,35,100,0,10,2,1,,5,1,5
11,vice-grip,Vise Grip,The target is gripped and squeezed from both sides to inflict damage.,1,1,55,30,100,0,10,2,1,,5,1,5
12,guillotine,Guillotine,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,1,1,,5,30,0,10,2,39,,1,14,9
13,razor-wind,Razor Wind,In this two-turn attack blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.,1,1,80,10,100,0,11,3,40,,1,2,6
14,swords-dance,Swords Dance,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.,1,1,,20,,0,7,1,51,,2,32,11
15,cut,Cut,The target is cut with a scythe or claw.,1,1,50,30,95,0,10,2,1,,1,14,5
16,gust,Gust,A gust of wind is whipped up by wings and launched at the target to inflict damage.,1,3,40,35,100,0,10,3,150,,4,21,5
17,wing-attack,Wing Attack,The target is struck with large imposing wings spread wide to inflict damage.,1,3,60,35,100,0,10,2,1,,1,12,5
18,whirlwind,Whirlwind,The target is blown away and a different Pokémon is dragged out. In the wild this ends a battle against a single Pokémon.,1,1,,20,,-6,10,1,29,,4,21,9
19,fly,Fly,The user soars and then strikes its target on the next turn.,1,3,90,15,95,0,10,2,156,,4,15,6
20,bind,Bind,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.,1,1,15,20,85,0,10,2,43,100,5,24,21
21,slam,Slam,The target is slammed with a long tail vines or the like to inflict damage.,1,1,80,20,75,0,10,2,1,,5,23,5
22,vine-whip,Vine Whip,The target is struck with slender whiplike vines to inflict damage.,1,12,45,25,100,0,10,2,1,,1,1,5
23,stomp,Stomp,The target is stomped with a big foot. This may also make the target flinch.,1,1,65,20,100,0,10,2,151,30,5,4,5
24,double-kick,Double Kick,The target is quickly kicked twice in succession using both feet.,1,2,30,30,100,0,10,2,45,,1,12,7
25,mega-kick,Mega Kick,The target is attacked by a kick launched with muscle-packed power.,1,1,120,5,75,0,10,2,1,,1,1,18
26,jump-kick,Jump Kick,The user jumps up high then strikes with a kick. If the kick misses the user hurts itself.,1,2,100,10,95,0,10,2,46,,1,3,5
27,rolling-kick,Rolling Kick,The user lashes out with a quick spinning kick. This may also make the target flinch.,1,2,60,15,85,0,10,2,32,30,1,5,5
28,sand-attack,Sand Attack,Sand is hurled in the target’s face reducing the target’s accuracy.,1,5,,15,100,0,10,1,24,,3,10,19
29,headbutt,Headbutt,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,1,1,70,15,100,0,10,2,32,30,5,9,5
30,horn-attack,Horn Attack,The target is jabbed with a sharply pointed horn to inflict damage.,1,1,65,25,100,0,10,2,1,,1,1,5
31,fury-attack,Fury Attack,The target is jabbed repeatedly with a horn or beak two to five times in a row.,1,1,15,20,85,0,10,2,30,,1,10,7
32,horn-drill,Horn Drill,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,1,1,,5,30,0,10,2,39,,1,14,9
33,tackle,Tackle,A physical attack in which the user charges and slams into the target with its whole body.,1,1,40,35,100,0,10,2,1,,5,1,5
34,body-slam,Body Slam,The user drops onto the target with its full body weight. This may also leave the target with paralysis.,1,1,85,15,100,0,10,2,7,30,5,4,5
35,wrap,Wrap,A long body vines or the like are used to wrap and  squeeze the target for four to five turns.,1,1,15,20,90,0,10,2,43,100,5,24,21
36,take-down,Take Down,A reckless full-body charge attack for slamming into the target. This also damages the user a little.,1,1,90,20,85,0,10,2,49,,5,3,5
37,thrash,Thrash,The user rampages and attacks for two to three turns. The user then becomes confused.,1,1,120,10,100,0,8,2,28,,5,6,7
38,double-edge,Double-Edge,A reckless life-risking tackle. This also damages the user quite a lot.,1,1,120,15,100,0,10,2,199,,5,3,9
39,tail-whip,Tail Whip,The user wags its tail cutely making opposing Pokémon less wary and lowering their Defense stat.,1,1,,30,100,0,11,1,20,,3,28,19
40,poison-sting,Poison Sting,The user stabs the target with a poisonous stinger. This may also poison the target.,1,4,15,35,100,0,10,2,3,30,4,9,19
