Name,Description,Old Name,Old Description
Stench,,stench,By releasing stench when attacking this Pokémon may cause the target to flinch.
Drizzle,,drizzle,The Pokémon makes it rain when it enters a battle.
Speed Boost,,speed-boost,Its Speed stat is boosted every turn.
Battle Armor,,battle-armor,Hard armor protects the Pokémon from critical hits.
Sturdy,,sturdy,It cannot be knocked out with one hit. One-hit KO moves cannot knock it out either.
Damp,,damp,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.
Limber,,limber,Its limber body protects the Pokémon from paralysis.
Sand Veil,,sand-veil,Boosts the Pokémon’s evasiveness in a sandstorm.
Static,,static,The Pokémon is charged with static electricity so contact with it may cause paralysis.
Volt Absorb,,volt-absorb,Restores HP if hit by an Electric-type move instead of taking damage.
Water Absorb,,water-absorb,Restores HP if hit by a Water-type move instead of taking damage.
Oblivious,,oblivious,The Pokémon is oblivious and that keeps it from being infatuated or falling for taunts.
Cloud Nine,,cloud-nine,Eliminates the effects of weather.
Compound Eyes,,compound-eyes,The Pokémon’s compound eyes boost its accuracy.
Insomnia,,insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.
Color Change,,color-change,The Pokémon’s type becomes the type of the move used on it.
Immunity,,immunity,The immune system of the Pokémon prevents it from getting poisoned.
Flash Fire,,flash-fire,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
Shield Dust,,shield-dust,This Pokémon’s dust blocks the additional effects of attacks taken.
Own Tempo,,own-tempo,This Pokémon has its own tempo and that prevents it from becoming confused.
Suction Cups,,suction-cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
Intimidate,,intimidate,The Pokémon intimidates opposing Pokémon upon entering battle lowering their Attack stat.
Shadow Tag,,shadow-tag,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
Rough Skin,,rough-skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.
Wonder Guard,,wonder-guard,Its mysterious power only lets supereffective moves hit the Pokémon.
Levitate,,levitate,By floating in the air the Pokémon receives full immunity to all Ground-type moves.
Effect Spore,,effect-spore,Contact with the Pokémon may inflict poison sleep or paralysis on its attacker.
Synchronize,,synchronize,The attacker will receive the same status condition if it inflicts a burn poison or paralysis to the Pokémon.
Clear Body,,clear-body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
Natural Cure,,natural-cure,All status conditions heal when the Pokémon switches out.
Lightning Rod,,lightning-rod,The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves it boosts its Sp. Atk.
Serene Grace,,serene-grace,Boosts the likelihood of additional effects occurring when attacking.
Swift Swim,,swift-swim,Boosts the Pokémon’s Speed stat in rain.
Chlorophyll,,chlorophyll,Boosts the Pokémon’s Speed stat in harsh sunlight.
Illuminate,,illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
Trace,,trace,When it enters a battle the Pokémon copies an opposing Pokémon’s Ability.
Huge Power,,huge-power,Doubles the Pokémon’s Attack stat.
Poison Point,,poison-point,Contact with the Pokémon may poison the attacker.
Inner Focus,,inner-focus,The Pokémon’s intensely focused and that protects the Pokémon from flinching.
Magma Armor,,magma-armor,The Pokémon is covered with hot magma which prevents the Pokémon from becoming frozen.
Water Veil,,water-veil,The Pokémon is covered with a water veil which prevents the Pokémon from getting a burn.
Magnet Pull,,magnet-pull,Prevents Steel-type Pokémon from escaping using its magnetic force.
Soundproof,,soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.
Rain Dish,,rain-dish,The Pokémon gradually regains HP in rain.
Sand Stream,,sand-stream,The Pokémon summons a sandstorm when it enters a battle.
Pressure,,pressure,By putting pressure on the opposing Pokémon it raises their PP usage.
Thick Fat,,thick-fat,The Pokémon is protected by a layer of thick fat which halves the damage taken from Fire- and Ice-type moves.
Early Bird,,early-bird,The Pokémon awakens from sleep twice as fast as other Pokémon.
Flame Body,,flame-body,Contact with the Pokémon may burn the attacker.
Run Away,,run-away,Enables a sure getaway from wild Pokémon.
Keen Eye,,keen-eye,Keen eyes prevent other Pokémon from lowering this Pokémon’s accuracy.
Hyper Cutter,,hyper-cutter,The Pokémon’s proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.
Pickup,,pickup,The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle too.
Truant,,truant,The Pokémon can’t use a move if it had used a move on the previous turn.
Hustle,,hustle,Boosts the Attack stat but lowers accuracy.
Cute Charm,,cute-charm,Contact with the Pokémon may cause infatuation.
Plus,,plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Minus,,minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Forecast,,forecast,The Pokémon transforms with the weather to change its type to Water Fire or Ice.
Sticky Hold,,sticky-hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.
Shed Skin,,shed-skin,The Pokémon may heal its own status conditions by shedding its skin.
Guts,,guts,It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.
Marvel Scale,,marvel-scale,The Pokémon’s marvelous scales boost the Defense stat if it has a status condition.
Liquid Ooze,,liquid-ooze,The oozed liquid has a strong stench which damages attackers using any draining move.
Overgrow,,overgrow,Powers up Grass-type moves when the Pokémon’s HP is low.
Blaze,,blaze,Powers up Fire-type moves when the Pokémon’s HP is low.
Torrent,,torrent,Powers up Water-type moves when the Pokémon’s HP is low.
Swarm,,swarm,Powers up Bug-type moves when the Pokémon’s HP is low.
Rock Head,,rock-head,Protects the Pokémon from recoil damage.
Drought,,drought,Turns the sunlight harsh when the Pokémon enters a battle.
Arena Trap,,arena-trap,Prevents opposing Pokémon from fleeing.
Vital Spirit,,vital-spirit,The Pokémon is full of vitality and that prevents it from falling asleep.
White Smoke,,white-smoke,The Pokémon is protected by its white smoke which prevents other Pokémon from lowering its stats.
Pure Power,,pure-power,Using its pure power the Pokémon doubles its Attack stat.
Shell Armor,,shell-armor,A hard shell protects the Pokémon from critical hits.
Air Lock,,air-lock,Eliminates the effects of weather.
Tangled Feet,,tangled-feet,Raises evasiveness if the Pokémon is confused.
Motor Drive,,motor-drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.
Rivalry,,rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender.
Steadfast,,steadfast,The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.
Snow Cloak,,snow-cloak,Boosts evasiveness in a hailstorm.
Gluttony,,gluttony,Makes the Pokémon eat a held Berry when its HP drops to half or less which is sooner than usual.
Anger Point,,anger-point,The Pokémon is angered when it takes a critical hit and that maxes its Attack stat.
Unburden,,unburden,Boosts the Speed stat if the Pokémon’s held item is used or lost.
Heatproof,,heatproof,The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.
Simple,,simple,The stat changes the Pokémon receives are doubled.
Dry Skin,,dry-skin,Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight and increases the damage received from Fire-type moves.
Download,,download,Compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
Iron Fist,,iron-fist,Powers up punching moves.
Poison Heal,,poison-heal,Restores HP if the Pokémon is poisoned instead of losing HP.
Adaptability,,adaptability,Powers up moves of the same type as the Pokémon.
Skill Link,,skill-link,Maximizes the number of times multistrike moves hit.
Hydration,,hydration,Heals status conditions if it’s raining.
Solar Power,,solar-power,Boosts the Sp. Atk stat in harsh sunlight but HP decreases every turn.
Quick Feet,,quick-feet,Boosts the Speed stat if the Pokémon has a status condition.
Normalize,,normalize,All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.
Sniper,,sniper,Powers up moves if they become critical hits when attacking.
Magic Guard,,magic-guard,The Pokémon only takes damage from attacks.
No Guard,,no-guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
Stall,,stall,The Pokémon moves after all other Pokémon do.
Technician,,technician,Powers up the Pokémon’s weaker moves.
Leaf Guard,,leaf-guard,Prevents status conditions in harsh sunlight.
Klutz,,klutz,The Pokémon can’t use any held items.
Mold Breaker,,mold-breaker,Moves can be used on the target regardless of its Abilities.
Super Luck,,super-luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
Aftermath,,aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.
Anticipation,,anticipation,The Pokémon can sense an opposing Pokémon’s dangerous moves.
Forewarn,,forewarn,When it enters a battle the Pokémon can tell one of the moves an opposing Pokémon has.
Unaware,,unaware,When attacking the Pokémon ignores the target Pokémon’s stat changes.
Tinted Lens,,tinted-lens,The Pokémon can use “not very effective” moves to deal regular damage.
Filter,,filter,Reduces the power of supereffective attacks taken.
Slow Start,,slow-start,For five turns the Pokémon’s Attack and Speed stats are halved.
Scrappy,,scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.
Storm Drain,,storm-drain,Draws in all Water-type moves. Instead of being hit by Water-type moves it boosts its Sp. Atk.
Ice Body,,ice-body,The Pokémon gradually regains HP in a hailstorm.
Solid Rock,,solid-rock,Reduces the power of supereffective attacks taken.
Snow Warning,,snow-warning,The Pokémon summons a hailstorm when it enters a battle.
Honey Gather,,honey-gather,The Pokémon may gather Honey after a battle.
Frisk,,frisk,When it enters a battle the Pokémon can check an opposing Pokémon’s held item.
Reckless,,reckless,Powers up moves that have recoil damage.
Multitype,,multitype,Changes the Pokémon’s type to match the Plate or Z-Crystal it holds.
Flower Gift,,flower-gift,Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.
Bad Dreams,,bad-dreams,Reduces the HP of sleeping opposing Pokémon.
Pickpocket,,pickpocket,Steals an item from an attacker that made direct contact.
Sheer Force,,sheer-force,Removes additional effects to increase the power of moves when attacking.
Contrary,,contrary,Makes stat changes have an opposite effect.
