DexId,Name,Types,Weaknesses,Resistances,Immunities,Locations,Species,EggGroups
2,Ivysaur,"grass,poison","fire,flying,ice,psychic","electric,fairy,fighting,grass,grass,water",none,,ivysaur,"monster,plant"
3,Venusaur,"grass,poison","fire,flying,ice,psychic","electric,fairy,fighting,grass,grass,water",none,,venusaur,"monster,plant"
1,Bulbasaur,"grass,poison","fire,flying,ice,psychic","electric,fairy,fighting,grass,grass,water",none,"cerulean-city-area (yellow),pallet-town-area (red, blue, firered, leafgreen, heartgold, soulsilver),lumiose-city-area (x, y)",bulbasaur,"monster,plant"
4,Charmander,fire,"ground,rock,water","bug,fairy,fire,grass,ice,steel",none,"pallet-town-area (red, blue, firered, leafgreen, heartgold, soulsilver),kanto-route-24-area (yellow),lumiose-city-area (x, y)",charmander,"monster,dragon"
6,Charizard,"fire,flying","electric,rock,rock,water","bug,bug,fairy,fighting,fire,grass,grass,steel",ground,,charizard,"monster,dragon"
5,Charmeleon,fire,"ground,rock,water","bug,fairy,fire,grass,ice,steel",none,,charmeleon,"monster,dragon"
9,Blastoise,water,"electric,grass","fire,ice,steel,water",none,,blastoise,"monster,water1"
10,Caterpie,bug,"fire,flying,rock","fighting,grass,ground",none,"eterna-forest-area (platinum),sinnoh-route-204-south-towards-jubilife-city (diamond, pearl, platinum),sinnoh-route-204-north-towards-floaroma-town (platinum),johto-route-30-area (gold, crystal, heartgold),johto-route-31-area (gold, crystal, heartgold),ilex-forest-area (gold, crystal, heartgold),johto-route-34-area (gold),johto-route-35-area (gold),national-park-area (gold, crystal, heartgold),unknown-all-bugs-area (heartgold),johto-route-36-area (gold),johto-route-37-area (gold),johto-route-38-area (gold),johto-route-39-area (gold),lake-of-rage-area (gold),kanto-route-26-area (gold),kanto-route-27-area (gold),kanto-route-2-south-towards-viridian-city (blue, gold, crystal, firered, leafgreen, heartgold),kanto-route-24-area (blue, crystal, firered, leafgreen),kanto-route-25-area (red, blue, crystal, firered, leafgreen),kanto-route-2-north-towards-pewter-city (heartgold),viridian-forest-area (red, blue, yellow, firered, leafgreen, heartgold),pattern-bush-area (firered, leafgreen),kalos-route-2-area (y),santalune-forest-area (x, y),azalea-town-area (gold)",caterpie,bug
12,Butterfree,"bug,flying","electric,fire,flying,ice,rock,rock","bug,fighting,fighting,grass,grass",ground,"ilex-forest-area (gold, crystal),johto-route-34-area (gold),johto-route-35-area (gold),johto-route-36-area (gold),johto-route-37-area (gold),johto-route-38-area (gold),johto-route-39-area (gold),lake-of-rage-area (gold),kanto-route-26-area (gold),kanto-route-27-area (gold),kanto-route-2-south-towards-viridian-city (gold, crystal, heartgold),kanto-route-24-area (crystal),kanto-route-25-area (crystal),kanto-route-2-north-towards-pewter-city (heartgold),viridian-forest-area (heartgold),unova-route-12-area (white),azalea-town-area (gold)",butterfree,bug
14,Kakuna,"bug,poison","fire,flying,psychic,rock","bug,fairy,fighting,fighting,grass,grass,poison",none,"eterna-forest-area (diamond, pearl, platinum),johto-route-30-area (silver, soulsilver),johto-route-31-area (silver, soulsilver),ilex-forest-area (silver, crystal, soulsilver),johto-route-34-area (silver),johto-route-35-area (silver),national-park-area (silver, soulsilver),johto-route-36-area (silver),johto-route-37-area (silver),johto-route-38-area (silver),johto-route-39-area (silver),lake-of-rage-area (silver),kanto-route-26-area (silver),kanto-route-27-area (silver),kanto-route-2-south-towards-viridian-city (silver, soulsilver),kanto-route-24-area (red, firered, leafgreen),kanto-route-25-area (red, blue, firered, leafgreen),kanto-route-2-north-towards-pewter-city (soulsilver),viridian-forest-area (red, blue, firered, leafgreen, soulsilver),pattern-bush-area (firered, leafgreen),unova-route-12-area (black),santalune-forest-area (x),azalea-town-area (silver)",kakuna,bug
7,Squirtle,water,"electric,grass","fire,ice,steel,water",none,"vermilion-city-area (yellow),pallet-town-area (red, blue, firered, leafgreen, heartgold, soulsilver),lumiose-city-area (x, y)",squirtle,"monster,water1"
8,Wartortle,water,"electric,grass","fire,ice,steel,water",none,,wartortle,"monster,water1"
13,Weedle,"bug,poison","fire,flying,psychic,rock","bug,fairy,fighting,fighting,grass,grass,poison",none,"eterna-forest-area (platinum),sinnoh-route-204-south-towards-jubilife-city (diamond, pearl, platinum),sinnoh-route-204-north-towards-floaroma-town (platinum),johto-route-30-area (silver, crystal, soulsilver),johto-route-31-area (silver, crystal, soulsilver),ilex-forest-area (silver, crystal, soulsilver),johto-route-34-area (silver),johto-route-35-area (silver),national-park-area (silver, crystal, soulsilver),unknown-all-bugs-area (soulsilver),johto-route-36-area (silver),johto-route-37-area (silver),johto-route-38-area (silver),johto-route-39-area (silver),lake-of-rage-area (silver),kanto-route-26-area (silver),kanto-route-27-area (silver),kanto-route-2-south-towards-viridian-city (red, silver, firered, leafgreen, soulsilver),kanto-route-24-area (red, firered, leafgreen),kanto-route-25-area (red, blue, firered, leafgreen),kanto-route-2-north-towards-pewter-city (soulsilver),viridian-forest-area (red, blue, firered, leafgreen, soulsilver),pattern-bush-area (firered, leafgreen),kalos-route-2-area (x),santalune-forest-area (x, y),azalea-town-area (silver)",weedle,bug
11,Metapod,bug,"fire,flying,rock","fighting,grass,ground",none,"eterna-forest-area (diamond, pearl, platinum),johto-route-30-area (gold, heartgold),johto-route-31-area (gold, heartgold),ilex-forest-area (gold, crystal, heartgold),johto-route-34-area (gold),johto-route-35-area (gold),national-park-area (gold, heartgold),johto-route-36-area (gold),johto-route-37-area (gold),johto-route-38-area (gold),johto-route-39-area (gold),lake-of-rage-area (gold),kanto-route-26-area (gold),kanto-route-27-area (gold),kanto-route-2-south-towards-viridian-city (gold, heartgold),kanto-route-24-area (blue, crystal, firered, leafgreen),kanto-route-25-area (red, blue, crystal, firered, leafgreen),kanto-route-2-north-towards-pewter-city (heartgold),viridian-forest-area (red, blue, yellow, firered, leafgreen, heartgold),pattern-bush-area (firered, leafgreen),unova-route-12-area (white),santalune-forest-area (y),azalea-town-area (gold)",metapod,bug
18,Pidgeot,"normal,flying","electric,ice,rock","bug,grass","ghost,ground",,pidgeot,flying
21,Spearow,"normal,flying","electric,ice,rock","bug,grass","ghost,ground","sinnoh-route-225-area (diamond, pearl, platinum),sinnoh-sea-route-226-area (diamond, pearl),johto-route-29-area (gold, silver),johto-route-30-area (gold, silver),johto-route-31-area (gold, silver),johto-route-32-area (gold, silver),johto-route-33-area (gold, silver, crystal, heartgold, soulsilver),johto-route-42-area (gold, silver, crystal, heartgold, soulsilver),johto-route-43-area (gold, silver),johto-route-44-area (gold, silver, crystal),johto-route-45-area (gold, silver, crystal),johto-route-46-area (gold, silver, crystal, heartgold, soulsilver),johto-route-47-area (heartgold, soulsilver),kanto-route-3-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-4-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-7-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-9-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-10-area (red, blue, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-11-area (red, blue, firered, leafgreen),kanto-route-16-area (red, blue, yellow, firered, leafgreen),kanto-route-17-area (red, blue, firered, leafgreen),kanto-route-18-area (red, blue, yellow, firered, leafgreen),kanto-route-22-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-23-area (red, blue, firered, leafgreen),mt-ember-area (firered, leafgreen),kindle-road-area (firered, leafgreen),treasure-beach-area (firered, leafgreen),cape-brink-area (firered, leafgreen),water-path-area (firered, leafgreen),ruin-valley-area (firered, leafgreen),canyon-entrance-area (firered, leafgreen),goldenrod-city-north-gate (gold, silver, crystal, heartgold, soulsilver),azalea-town-area (crystal)",spearow,flying
