"X.","Name","Type.1","Type.2","Total","HP","Attack","Defense","Sp..Atk","Sp..Def","Speed","Generation","Legendary","Mega","Tier"
384,"Mega Rayquaza","Dragon","Flying",780,105,180,100,180,100,115,3,TRUE,TRUE,"AG"
94,"Mega Gengar","Ghost","Poison",600,60,65,80,170,95,130,1,FALSE,TRUE,"Uber"
115,"Mega Kangaskhan","Normal","",590,105,125,100,60,100,100,1,FALSE,TRUE,"Uber"
150,"Mewtwo","Psychic","",680,106,110,90,154,90,130,1,TRUE,FALSE,"Uber"
150,"Mega Mewtwo X","Psychic","Fighting",780,106,190,100,154,100,130,1,TRUE,TRUE,"Uber"
150,"Mega Mewtwo Y","Psychic","",780,106,150,70,194,120,140,1,TRUE,TRUE,"Uber"
249,"Lugia","Psychic","Flying",680,106,90,130,90,154,110,2,TRUE,FALSE,"Uber"
250,"Ho-oh","Fire","Flying",680,106,130,90,110,154,90,2,TRUE,FALSE,"Uber"
257,"Blaziken","Fire","Fighting",530,80,120,70,110,70,80,3,FALSE,FALSE,"Uber"
257,"Mega Blaziken","Fire","Fighting",630,80,160,80,130,80,100,3,FALSE,TRUE,"Uber"
302,"Mega Sableye","Dark","Ghost",480,50,85,125,85,115,20,3,FALSE,TRUE,"Uber"
303,"Mega Mawile","Steel","Fairy",480,50,105,125,55,95,50,3,FALSE,TRUE,"Uber"
373,"Mega Salamence","Dragon","Flying",700,95,145,130,120,90,120,3,FALSE,TRUE,"Uber"
382,"Kyogre","Water","",670,100,100,90,150,140,90,3,TRUE,FALSE,"Uber"
383,"Groudon","Ground","",670,100,150,140,100,90,90,3,TRUE,FALSE,"Uber"
384,"Rayquaza","Dragon","Flying",680,105,150,90,150,90,95,3,TRUE,FALSE,"Uber"
448,"Mega Lucario","Fighting","Steel",625,70,145,88,140,70,112,4,FALSE,TRUE,"Uber"
483,"Dialga","Steel","Dragon",680,100,120,120,150,100,90,4,TRUE,FALSE,"Uber"
484,"Palkia","Water","Dragon",680,90,120,100,150,120,100,4,TRUE,FALSE,"Uber"
491,"Darkrai","Dark","",600,70,90,90,135,90,125,4,TRUE,FALSE,"Uber"
643,"Reshiram","Dragon","Fire",680,100,120,100,150,120,90,5,TRUE,FALSE,"Uber"
644,"Zekrom","Dragon","Electric",680,100,150,120,120,100,90,5,TRUE,FALSE,"Uber"
649,"Genesect","Bug","Steel",600,71,120,95,120,95,99,5,TRUE,FALSE,"Uber"
658,"Greninja","Water","Dark",530,72,95,67,103,71,122,6,FALSE,FALSE,"Uber"
716,"Xerneas","Fairy","",680,126,131,95,131,98,99,6,TRUE,FALSE,"Uber"
717,"Yveltal","Dark","Flying",680,126,131,95,131,98,99,6,TRUE,FALSE,"Uber"
681,"Aegislash","Steel","Ghost",520,60,150,50,150,50,60,6,FALSE,FALSE,"Uber"
386,"Deoxys-A","Psychic","",600,50,180,20,180,20,150,3,TRUE,FALSE,"Uber"
386,"Deoxys","Psychic","",600,50,150,50,150,50,150,3,TRUE,FALSE,"Uber"
386,"Deoxys-S","Psychic","",600,50,95,90,95,90,180,3,TRUE,FALSE,"Uber"
386,"Deoxys-D","Psychic","",600,50,70,160,70,160,90,3,TRUE,FALSE,"Uber"
487,"Giratina","Ghost","Dragon",680,150,100,120,100,120,90,4,TRUE,FALSE,"Uber"
487,"Giratina-O","Ghost","Dragon",680,150,120,100,120,100,90,4,TRUE,FALSE,"Uber"
646,"Kyurem-W","Dragon","Ice",700,125,120,90,170,100,95,5,TRUE,FALSE,"Uber"
493,"Arceus","Normal","",720,120,120,120,120,120,120,4,TRUE,FALSE,"Uber"
383,"Primal Groudon","Ground","Fire",770,100,180,160,150,90,90,3,TRUE,FALSE,"Uber"
382,"Primal Kyogre","Water","",770,100,150,90,180,160,90,3,TRUE,FALSE,"Uber"
720,"Hoopa-U","Psychic","Dark",680,80,160,60,170,130,80,6,TRUE,FALSE,"Uber"
645,"Landorus","Ground","Flying",600,89,125,90,115,80,101,5,TRUE,FALSE,"Uber"
492,"Shaymin-S","Grass","Flying",600,100,103,75,120,75,127,4,TRUE,FALSE,"Uber"
3,"Mega Venusaur","Grass","Poison",625,80,100,123,122,120,80,1,FALSE,TRUE,"OU"
6,"Mega Charizard X","Fire","Dragon",634,78,130,111,130,85,100,1,FALSE,TRUE,"OU"
6,"Mega Charizard Y","Fire","Flying",634,78,104,78,159,115,100,1,FALSE,TRUE,"OU"
36,"Clefable","Fairy","",483,95,70,73,95,90,60,1,FALSE,FALSE,"OU"
51,"Dugtrio","Ground","",405,35,80,50,50,70,120,1,FALSE,FALSE,"OU"
