[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Hito]	[MBTI]	[Loves]	[Hates]	[Description]	[Characteristic]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Absol	Female	Yonaka	Fubuki	92871755	23/12/2003	WOD, Japan, Kansai, Johto	Cipher and Shadow Pokemon Researcher	Hetero	Sub	Bottom	115	40	38	Zapfino #0e13f6	Caitlinn Glass/Megumi Sato	Madonna - Frozen	INFP	Leppa berries, Ice types, Foxes	Shadows, Cipher, Arguments	Deep sapphire eyes, blue skin, snow white fur	Quick to flee	50	144	50	70	50	100	96	Dark	Ice	Docile	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Wisp Pendant: Necklace crafted by Storm Fall, automatically turns Shinkage off ~ Falheria's Light: Bracelet that turns off a foe Shadow going in Reverse mode.	Night Slash: (70/AT/Dark) +1 Crit Chance ~ Swords Dance: (Normal) +2 AT ~ Obstruction: (Parry/Dark) -1 DF to foe if hit ~ Play Rough: (90/AT/Fairy) 10% Chance -1 AT to foe	Absolute Zero: (170/AT/Ice) Uses foe's SD, always Freezes	Justified: +1 AT if hit by Dark move	Emotion: Team is immune to Insane, Confusion and Flinching	Shinkage: Turn Shadow type, moves purify Shadow types instead of damaging them. Moves can hit wrong target, but Shinkage can be turned off by calling Yon's name.	Immense attack, and the ability to boost it quickly, gives Yon a Deoxys-like sweeping potential.	Glass cannon, mega evolution unstable.	Boyfriend: Averly Lamanna ~ Trainer: Niko Harmonia Gropius ~ Adopted Daughter: Kouri Fubuki
Absol	Male			36905921	14/10/1989																																			
Arceus	Unknown			26732843	02/07/1987																																			
Aron Lairon Aggron	Male			52586810	17/09/1982																																			
Audino	Female			89068671	20/01/2003																																			
Axew Fraxure Haxorus	Male	Senpu	Tengoku	87181652	17/04/1999	WOL, Mist Continent	Tengoku Commander	Hetero	Dom	Top	204	125	76	Angelized #f2174a	Sean Chiplock/Shintaro Asanuma		ISTJ																							
Blitzle Zebstrika	Male			80954556	11/12/1989																																			
Buizel Floatzel	Male			13395065	23/05/1985																																			
Bulbasaur Ivysaur Venusaur	Female			75434977	31/05/1973																																			
Buneary Lopunny	Female			54934769	11/04/1977																																			
Buzzwole	Unknown			98432349	14/01/2000																																			
Celebi	Female			22189436	06/07/1991																																			
Charmander Charmeleon Charizard	Female			98361684	29/07/1981																																			
Chatot	Male			71964340	22/08/1996																																			
Chespin Quilladin Chesnaught	Male			44331636	21/08/1999																																			
Chikorita Bayleef Meganium	Female			21751527	01/07/1986																																			
Chimchar Monferno Infernape	Male			76148546	25/10/1986																																			
Cobalion	Male			11317376	17/01/2008																																			
Conkeldurr	Male			41145933	13/06/1996																																			
Cresselia	Female			74332662	17/07/1973																																			
Cubone Marowak (Alola)	Male			86300610	09/07/2008																																			
Cubone Marowak	Female	Awan	Eden	52431933	09/12/1996	WOL, Air Continent	Eden Enforcer	Hetero	Dom	Top	99	44	23	Dutch #cebc7c	Chisa Suganuma/Ayumi Fujimura		INTJ																							
Cutiefly Ribombee	Female			39056760	13/03/1979																																			
Cyndaquil Quilava Typhlosion	Female	Matilde	Quemar	60259177	28/11/1990	WOD, Germany, Rhineland, Nürburg	Haruna Fujisancho Bodyguard	Hetero	Switch	Switch	184	96	88	Queasy #b71221	Jessica Madsen/Chie Nakamura		ISTP	NGGGAAAAAAAHHH!!!	AAAAAGGGHHH!!!!	Black and red instead of yellow and navy, pale white eyes, Gemini tattoo on right arm.		78	184	78	109	85	100	86	Fire/Dark	Fighting	Hardy	Iron Ball: Halves speed, heavy damage when thrown.	Eruption: (150/SA/Fire) Lower HP decreases power ~ Brightest Lariat: (50/AT/Dark) Hits 2 times, ignores stat changes ~ Heat Crash: (100/AT/Fire) Damage increased if foe is lighter ~ Fling: (?/AT/Dark) Damage and effect depends on held item	TKO: (400/AT/Dark) 1 turn charge	Flash Rainbow: If hit by (Type), boosts (Type) moves.	None	None	Powerful Dark type moves with STAB, and a horrifyingly strong finisher.	Not effective in teams, low bulk.	Crush: Dairou Tengoku ~ Roommates: Nirvana Moksha, Cefca Pagliaccio, Flaros Overfield
Cyndaquil Quilava Typhlosion	Male			35467529	26/04/2001																																			
Darkrai	Female			26967253	21/01/1984																																			
Darumaka Darmanitan	Male			38424255	02/05/2002																																			
Deerling Sawsbuck	Female			41328163	28/09/2000																																			
Deerling Sawsbuck	Male			25601295	08/08/2003																																			
Deino Zweilous Hydreigon	Male			91112010	27/06/1996																																			
Deoxys	Unknown			33281711	28/01/2001																																			
Dialga	Female	Kongouseki	Izanami	13670491	??/??/????	WOL, Mystery Continent	Dimension Guard	Hetero	Switch	Top	533	678	142	Encode Sans #51c7d9	Janice Kawaye/Shiho Kawaragi		ENTJ																							
Ditto	Non Binary			30697571	24/12/1980																																			
Dratini Dragonair Dragonite	Female			23897958	14/07/1990																																			
Dratini Dragonair Dragonite	Male			78817525	08/05/1992																																			
Drillbur Excadrill	Male			18597762	31/03/1970																																			
Drowzee Hypno	Male			92574152	20/03/1995																																			
Druddigon	Male			61458922	25/05/2008																																			
Ducklett Swanna	Female			63796728	02/06/1977																																			
Duskull Dusclops Dusknoir	Male			89844420	09/01/1976																																			
Eevee Espeon	Female	Ai	Nonaka	27789559	27/05/1997	WOL, Mist Continent	Magnagate Scientist	Hetero	Sub	Bottom	86	26	31	Mercury #e07be9	Kikuko Inoue/Ai Nonaka		ISTP			Eyes and inner ears are magenta instead of blue.		65	65	65	130	110	90	66	Psychic	Fairy	Lonely	Entercards (14): Summon long-range dungeons from ley lines using 4 cards.	Dazzling Gleam (80/SA/Psychic) Hits all foes ~ Calm Mind (Psychic) +1 SA and SD ~ Heal Bell (Normal) Heals team from status conditions ~ Noon Sun (Normal) Heals 100% HP at midday, 0% HP at midnight	Ragnarok: (300/SA/Psychic) 1 turn charge, causes Confusion.	Magic Bounce: Reflects status moves		None	Great at long range support and healing, can flee with Entercards.	Without team and items, helpless.	Husband: Kosuke Toriumi
Eevee Espeon	Male			73140339	04/07/1981																																			
Eevee Flareon	Female			42750223	22/10/2005																																			
Eevee Flareon	Male			36183570	25/04/2006																																			
Eevee Glaceon	Female			64607539	07/09/1979																																			
Eevee Glaceon	Male			57046130	31/03/1991																																			
Eevee Jolteon	Female	Remi	Toriumi	65749259	02/08/1998	WOL, Mist Continent	Magnagate Tester	Hetero	Sub	Bottom	84	23	29	Polytone #d6c027	Jeannie Tirado/Michiyo Murase		ESFJ																							
Eevee Jolteon	Male			57416540	24/05/2003																																			
Eevee Leafeon	Female			51669987	06/02/2007																																			
Eevee Leafeon	Male			12038964	20/07/1982																																			
