"(Source)","Version","Object.$type","Object.Name.DefaultText","Object.Name.LocalTexts","Object.Desc.DefaultText","Object.Desc.LocalTexts.fr-ca","Object.Desc.LocalTexts.de","Object.Desc.LocalTexts.es","Object.Desc.LocalTexts.pt","Object.Desc.LocalTexts.ko","Object.Released","Object.Comment","Object.Sprite","Object.Icon","Object.SortCategory","Object.Price","Object.Rarity","Object.MaxStack","Object.CannotDrop","Object.BagEffect","Object.ItemStates","Object.UseAction.$type","Object.UseAction.HitTiles","Object.UseAction.BurstTiles","Object.UseAction.Emitter.$type","Object.UseAction.Emitter.LocHeight","Object.UseAction.WideAngle","Object.UseAction.CharAnimData.$type","Object.UseAction.CharAnimData.ActionType","Object.UseAction.TargetAlignments","Object.UseAction.TileEmitter.$type","Object.UseAction.TileEmitter.LocHeight","Object.UseAction.PreActions","Object.UseAction.ActionFX.Delay","Object.UseAction.ActionFX.Sound","Object.UseAction.ActionFX.Emitter.$type","Object.UseAction.ActionFX.Emitter.LocHeight","Object.UseAction.ActionFX.ScreenMovement.MinShake","Object.UseAction.ActionFX.ScreenMovement.MaxShake","Object.UseAction.ActionFX.ScreenMovement.MaxShakeTime","Object.UseAction.LagBehindTime","Object.Explosion.TargetAlignments","Object.Explosion.HitTiles","Object.Explosion.Range","Object.Explosion.Speed","Object.Explosion.TileEmitter.$type","Object.Explosion.TileEmitter.LocHeight","Object.Explosion.Emitter.$type","Object.Explosion.Emitter.LocHeight","Object.Explosion.IntroFX","Object.Explosion.ExplodeFX.Delay","Object.Explosion.ExplodeFX.Sound","Object.Explosion.ExplodeFX.Emitter.$type","Object.Explosion.ExplodeFX.Emitter.LocHeight","Object.Explosion.ExplodeFX.ScreenMovement.MinShake","Object.Explosion.ExplodeFX.ScreenMovement.MaxShake","Object.Explosion.ExplodeFX.ScreenMovement.MaxShakeTime","Object.UseEvent.Element","Object.UseEvent.Category","Object.UseEvent.HitRate","Object.UseEvent.SkillStates","Object.UseEvent.BeforeTryActions","Object.UseEvent.BeforeActions","Object.UseEvent.OnActions","Object.UseEvent.BeforeExplosions","Object.UseEvent.BeforeHits","Object.UseEvent.OnHits","Object.UseEvent.OnHitTiles","Object.UseEvent.AfterActions","Object.UseEvent.ElementEffects","Object.UseEvent.IntroFX","Object.UseEvent.HitFX.Delay","Object.UseEvent.HitFX.Sound","Object.UseEvent.HitFX.Emitter.$type","Object.UseEvent.HitFX.Emitter.LocHeight","Object.UseEvent.HitFX.ScreenMovement.MinShake","Object.UseEvent.HitFX.ScreenMovement.MaxShake","Object.UseEvent.HitFX.ScreenMovement.MaxShakeTime","Object.UseEvent.HitCharAction.$type","Object.UseEvent.HitCharAction.Process","Object.UsageType","Object.ArcThrow","Object.ThrowAnim.AnimIndex","Object.ThrowAnim.FrameTime","Object.ThrowAnim.StartFrame","Object.ThrowAnim.EndFrame","Object.ThrowAnim.AnimDir","Object.ThrowAnim.Alpha","Object.ThrowAnim.AnimFlip","Object.ProximityEvent.Radius","Object.ProximityEvent.TargetAlignments","Object.ProximityEvent.BeforeExplosions","Object.ProximityEvent.OnEquips","Object.ProximityEvent.OnPickups","Object.ProximityEvent.BeforeStatusAdds","Object.ProximityEvent.OnStatusAdds","Object.ProximityEvent.OnStatusRemoves","Object.ProximityEvent.OnMapStatusAdds","Object.ProximityEvent.OnMapStatusRemoves","Object.ProximityEvent.OnMapStarts","Object.ProximityEvent.OnTurnStarts","Object.ProximityEvent.OnTurnEnds","Object.ProximityEvent.OnMapTurnEnds","Object.ProximityEvent.OnWalks","Object.ProximityEvent.OnDeaths","Object.ProximityEvent.OnRefresh","Object.ProximityEvent.BeforeTryActions","Object.ProximityEvent.BeforeActions","Object.ProximityEvent.OnActions","Object.ProximityEvent.BeforeHittings","Object.ProximityEvent.BeforeBeingHits","Object.ProximityEvent.AfterHittings","Object.ProximityEvent.AfterBeingHits","Object.ProximityEvent.OnHitTiles","Object.ProximityEvent.AfterActions","Object.ProximityEvent.UserElementEffects","Object.ProximityEvent.TargetElementEffects","Object.ProximityEvent.ModifyHPs","Object.ProximityEvent.RestoreHPs","Object.OnEquips","Object.OnPickups","Object.BeforeStatusAdds","Object.OnStatusAdds","Object.OnStatusRemoves","Object.OnMapStatusAdds","Object.OnMapStatusRemoves","Object.OnMapStarts","Object.OnTurnStarts","Object.OnTurnEnds","Object.OnMapTurnEnds","Object.OnWalks","Object.OnDeaths","Object.OnRefresh","Object.BeforeTryActions","Object.BeforeActions","Object.OnActions","Object.BeforeHittings","Object.BeforeBeingHits","Object.AfterHittings","Object.AfterBeingHits","Object.OnHitTiles","Object.AfterActions","Object.UserElementEffects","Object.TargetElementEffects","Object.ModifyHPs","Object.RestoreHPs"
"ammo_cacnea_spike","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Cacnea Spike","","A weapon to be hurled. It flies in a straight line to inflict damage and sharply lowers the Attack of any Pokémon it hits.","","","","","","true","","Stick_Green","1","9","2","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","0","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50},{""$type"":""PMDC.Dungeon.AdditionalEffectState, PMDC"",""EffectChance"":100}]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}},{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.AdditionalEvent, PMDC"",""BaseEvents"":[{""$type"":""PMDC.Dungeon.StatusStackBattleEvent, PMDC"",""Stack"":-2,""StatusID"":""mod_attack"",""AffectTarget"":true,""SilentCheck"":true,""Anonymous"":false,""TriggerMsg"":{""Key"":null},""Anims"":[]}]}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","false","Thorn_Green","60","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_corsola_twig","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Corsola Twig","","A weapon to be hurled. It flies in a straight line to inflict damage and sharply lowers the Sp.Atk of any Pokémon it hits.","","","","","","true","","Stick_Pink","1","9","2","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","0","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50},{""$type"":""PMDC.Dungeon.AdditionalEffectState, PMDC"",""EffectChance"":100}]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}},{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.AdditionalEvent, PMDC"",""BaseEvents"":[{""$type"":""PMDC.Dungeon.StatusStackBattleEvent, PMDC"",""Stack"":-2,""StatusID"":""mod_special_attack"",""AffectTarget"":true,""SilentCheck"":true,""Anonymous"":false,""TriggerMsg"":{""Key"":null},""Anims"":[]}]}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","false","Thorn_Pink","60","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_geo_pebble","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Geo Pebble","","A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target. It causes the target to flinch.","","","","","","true","","Rock_Gray","0","9","1","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","4","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50},{""$type"":""PMDC.Dungeon.AdditionalEffectState, PMDC"",""EffectChance"":100}]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}},{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.AdditionalEvent, PMDC"",""BaseEvents"":[{""$type"":""PMDC.Dungeon.StatusBattleEvent, PMDC"",""StatusID"":""flinch"",""AffectTarget"":true,""SilentCheck"":true,""Anonymous"":false,""TriggerMsg"":{""Key"":null},""Anims"":[]}]}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","true","","1","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_golden_thorn","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Golden Thorn","","A brilliantly shining thorn crafted from solid gold. It is a fantastically precious item that gives its owner serious bragging rights. When hurled, it flies in a straight line to inflict damage on any Pokémon it hits, scattering coins everywhere.","","Ein brilliant scheinender Dorn, welcher aus festem Gold hergestellt wurde. Es ist ein fantastisch kostbares Item, mit dem der Besitzer das Recht hat anzugeben. Wenn dieser geworfen wird, fliegt er in einer geraden Linie, fügt jedem getroffenen Pokémon Schaden zu und verstreut überall Münzen.","","","순금으로 조각한 훌륭히 빛나는 가시. 기가 막히게 귀중한 도구이기에 곳곳에 자랑하는 것도 좋을 것이다. 던지면 직선으로 날아가 맞는 포켓몬에게 데미지를 입히고, 동전이 마구 떨어져나온다.","true","","Thorn_Yellow","1","9","111","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","0","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50}]","[]","[]","[{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.PierceEvent, PMDC"",""SkillsPierce"":false,""ItemsPierce"":true,""PierceEnemies"":true,""PierceWalls"":false}}]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}}]","[]","[{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.DamageMoneyEvent, PMDC"",""Multiplier"":10}}]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","false","Thorn_Gold","60","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_gravelerock","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Gravelerock","","A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target's area.","","Wurfwaffe die im hohen Bogen geworfen wird um Hindernisse zu umgehen und den Zielbereich zu treffen.","","","던지는 무기. 높은 포물선을 그리며 날아가 대상의 주변을 맞춘다.","true","","Rock_Brown","0","9","3","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","4","true","1","10","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.CircleSquareReleaseEmitter, RogueEssence","0","[]","0","DUN_Giga_Impact","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50}]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","true","","1","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_iron_thorn","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Iron Thorn","","A weapon to be hurled. It flies in a straight line to inflict damage on any Pokémon it hits. Critical hits land more easily.","","Eine Wurfwaffe. Fliegt in einer graden Linie und fügt Schaden zu. Kritische Trefferchance ist höher.","","","던지는 무기. 직선으로 날아가 맞는 포켓몬에게 데미지를 입힌다. 급소에 맞기 쉽다.","true","","Stick_DarkBlue","1","9","2","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","0","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":70}]","[]","[]","[{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.BoostCriticalEvent, PMDC"",""AddCrit"":2}}]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","false","Thorn_Gray","60","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_rare_fossil","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Rare Fossil","","A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target's area. It deals Special damage.","","Wurfwaffe die im hohen Bogen geworfen wird um Hindernisse zu umgehen und den Zielbereich zu treffen. Fügt speziellen Schaden zu.","","","던지는 무기. 높은 포물선을 그리며 날아가 대상의 주변을 맞춘다. 특수데미지를 입힌다.","true","","Stone_Brown","0","9","50","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","4","true","1","10","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.CircleSquareReleaseEmitter, RogueEssence","0","[]","0","DUN_Rollout","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","2","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50}]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","true","","1","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_silver_spike","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Silver Spike","","A weapon to be hurled. It flies in a straight line to inflict damage to any Pokémon it hits, passing through walls.","","Eine Wurfwaffe. Fliegt in einer graden Linie und fügt Schaden zu. Durchdringt Wände.","","","던지는 무기. 벽을 관통하며 직선으로 날아가 맞는 포켓몬에게 데미지를 입힌다.","true","","Stick_White","1","9","11","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","0","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50}]","[]","[]","[{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.PierceEvent, PMDC"",""SkillsPierce"":false,""ItemsPierce"":true,""PierceEnemies"":false,""PierceWalls"":true}}]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","false","Thorn_White","60","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"ammo_stick","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Stick","","A weapon to be hurled. It flies in a straight line to inflict damage on any Pokémon it hits. It causes the target to flinch.","","","","","","true","","Stick_Brown","1","9","1","0","9","false","false","[{""$type"":""PMDC.Dungeon.AmmoState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","0","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","1","-1","[{""$type"":""RogueEssence.Dungeon.BasePowerState, RogueEssence"",""Power"":50},{""$type"":""PMDC.Dungeon.AdditionalEffectState, PMDC"",""EffectChance"":100}]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[-1]},""Value"":{""$type"":""PMDC.Dungeon.DamageFormulaEvent, PMDC""}},{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.AdditionalEvent, PMDC"",""BaseEvents"":[{""$type"":""PMDC.Dungeon.StatusBattleEvent, PMDC"",""StatusID"":""flinch"",""AffectTarget"":true,""SilentCheck"":true,""Anonymous"":false,""TriggerMsg"":{""Key"":null},""Anims"":[]}]}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","false","Thorn_Brown","60","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"apricorn_big","0.6.1.0","RogueEssence.Data.ItemData, RogueEssence","Big Apricorn","","An apricorn with a pleasant scent. It can tossed at wild Pokémon as a gift for a high chance to recruit them into the team.","","","","","","true","","Apricorn_White","11","8","500","0","0","false","false","[{""$type"":""PMDC.Dungeon.RecruitState, PMDC""}]","RogueEssence.Dungeon.AttackAction, RogueEssence","false","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","RogueEssence.Dungeon.CharAnimFrameType, RogueEssence","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","0","4","false","0","0","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","RogueEssence.Content.EmptyCircleSquareEmitter, RogueEssence","0","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","none","0","-1","[]","[]","[]","[]","[]","[]","[{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.FlatRecruitmentEvent, PMDC"",""RecruitRate"":30}},{""Key"":{""str"":[0]},""Value"":{""$type"":""PMDC.Dungeon.RecruitmentEvent, PMDC"",""ActionScript"":{""Script"":""AllyInteract"",""ArgTable"":""{}""}}}]","[]","[]","[]","[]","0","","RogueEssence.Content.EmptyFiniteEmitter, RogueEssence","0","0","0","0","RogueEssence.Dungeon.CharAnimProcess, RogueEssence","0","3","true","","1","-1","-1","-1","255","0","-1","0","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
