,,,
Pokemon ID,Game,Language,Description
1,1,9,A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON.
2,1,9,"When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs."
3,1,9,The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.
4,1,9,"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail."
5,1,9,"When it swings its burning tail, it elevates thetemperature to unbearably high levels."
6,1,9,Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.
7,1,9,"After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth."
8,1,9,"Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance."
9,1,9,A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles.
10,1,9,Its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls.
11,1,9,"This POKéMON is vulnerable to attack while itsshell is soft, exposing its weak and tender body."
12,1,9,"In battle, it flaps its wings at high speed torelease highly toxic dust into the air."
13,1,9,"Often found in forests, eating leaves.It has a sharp venomous stinger on its head."
14,1,9,"Almost incapable of moving, this POKéMON can onlyharden its shell to protect itself from predators."
15,1,9,Flies at high speed and attacks using its largevenomous stingers on its forelegs and tail.
16,1,9,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.
17,1,9,"Very protective of its sprawling territorial area,this POKéMON will fiercely peck at any intruder."
18,1,9,"When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP."
19,1,9,"Bites anything when it attacks. Small and veryquick, it is a common sight in many places."
20,1,9,It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.
21,1,9,Eats bugs in grassy areas. It has to flap itsshort wings at high speed to stay airborne.
22,1,9,"With its huge and magnificent wings, it can keep aloftwithout ever having to land for rest."
23,1,9,"Moves silently and stealthily. Eats the eggs ofbirds, such as PIDGEY and SPEAROW, whole."
24,1,9,It is rumored that the ferocious warning markingson its belly differ from area to area.
25,1,9,"When several of these POKéMON gather, theirelectricity could build and cause lightning storms."
26,1,9,Its long tail serves as a ground to protectitself from its own high voltage power.
27,1,9,Burrows deep underground in arid locationsfar from water. It only emerges to hunt for food.
28,1,9,Curls up into a spiny ball when threatened. Itcan roll while curled up to attack or escape.
29,1,9,"Although small, its venomous barbs render thisPOKéMON dangerous. The female has smaller horns."
30,1,9,The female's horn develops slowly. Prefers physicalattacks such as clawing and biting.
31,1,9,Its hard scales provide strong protection. Ituses its hefty bulk to execute powerful moves.
32,1,9,"Stiffens its ears to sense danger. The larger itshorns, the more powerful its secreted venom."
33,1,9,An aggressive POKéMON that is quick to attack.The horn on its head secretes a powerful venom.
34,1,9,"It uses its powerful tail in battle to smash,constrict, then break the prey's bones."
35,1,9,Its magical and cute appeal has many admirers.It is rare and found only in certain areas.
36,1,9,A timid fairy POKéMON that is rarely seen. Itwill run and hide the moment it senses people.
37,1,9,"At the time of birth, it has just one tail.The tail splits from its tip as it grows older."
38,1,9,Very smart and very vengeful. Grabbing one ofits many tails could result in a 1000-year curse.
39,1,9,"When its huge eyes light up, it sings a mysteriouslysoothing melody that lulls its enemies to sleep."
40,1,9,"The body is soft and rubbery. When angered, it willsuck in air and inflate itself to an enormous size."
41,1,9,Forms colonies in perpetually dark places. Usesultrasonic waves to identify and approach targets.
42,1,9,"Once it strikes, it will not stop draining energyfrom the victim even if it gets too heavy to fly."
43,1,9,"During the day, it keeps its face buried in theground. At night, it wanders around sowing its seeds."
44,1,9,The fluid that oozes from its mouth isn't drool.It is a nectar that is used to attract prey.
45,1,9,"The larger its petals, the more toxic pollen itcontains. Its big head is heavy and hard to hold up."
46,1,9,Burrows to suck tree roots. The mushrooms on itsback grow by draw­ ing nutrients from the bug host.
47,1,9,A host-parasite pair in which the parasite mushroomhas taken over the host bug. Prefers damp places.
48,1,9,Lives in the shadows of tall trees where iteats insects. It is attracted by light at night.
49,1,9,The dust-like scales covering its wings arecolor coded to indicate the kinds of poison it has.
50,1,9,Lives about one yard underground where it feeds onplant roots. It sometimes appears above ground.
51,1,9,A team of DIGLETT triplets. It triggers hugeearthquakes by burrowing 60 miles underground.
52,1,9,Adores circular objects. Wanders the streets on anightly basis to look for dropped loose change.
53,1,9,"Although its fur has many admirers, it is tough toraise as a pet because of its fickle meanness."
54,1,9,"While lulling its enemies with its vacant look, thiswily POKéMON will use psychokinetic powers."
55,1,9,"Often seen swim­ ming elegantly by lake shores. Itis often mistaken for the Japanese monster, Kappa."
56,1,9,Extremely quick to anger. It could be docile onemoment then thrashing away the next instant.
57,1,9,Always furious and tenacious to boot. It will notabandon chasing its quarry until it is caught.
58,1,9,Very protective of its territory. It will bark andbite to repel intruders from its space.
59,1,9,A POKéMON that has been admired since the pastfor its beauty. It runs agilely as if on wings.
60,1,9,Its newly grown legs prevent it from running. Itappears to prefer swimming than trying to stand.
61,1,9,"Capable of living in or out of water. When outof water, it sweats to keep its body slimy."
62,1,9,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
63,1,9,"Using its ability to read minds, it will identifyimpending danger and TELEPORT to safety."
64,1,9,It emits special alpha waves from its body thatinduce headaches just by being close by.
65,1,9,"Its brain can out­ perform a super­ computer.Its intelligence quotient is said to be 5,000."
66,1,9,Loves to build its muscles. It trains in allstyles of martial arts to become even stronger.
67,1,9,"Its muscular body is so powerful, it must wear a powersave belt to be able to regulate its motions."
68,1,9,"Using its heavy muscles, it throws powerful punchesthat can send the victim clear over the horizon."
69,1,9,A carnivorous POKéMON that traps and eats bugs.It uses its root feet to soak up needed moisture.
70,1,9,It spits out POISONPOWDER to immobilize theenemy and then finishes it with a spray of ACID.
71,1,9,"Said to live in huge colonies deep in jungles,although no one has ever returned from there."
72,1,9,Drifts in shallow seas. Anglers who hook them byaccident are often punished by its stinging acid.
73,1,9,"The tentacles are normally kept short. On hunts,they are extended to ensnare and immobilize prey."
74,1,9,"Found in fields and mountains. Mistaking themfor boulders, people often step or trip on them."
