[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Absol	Female	Yonaka	Fubuki	P92871755	23/12/2003	WOD, Japan, Kansai, Osaka	Cipher and Shadow Pokemon Researcher	Hetero	Sub	Bottom	115	40	38	Zapfino #0e13f6	Caitlinn Glass/Megumi Sato	Quick to flee	INFP	Leppa berries, Ice Types, Foxes	Shadows, Cipher, Arguments	Deep sapphire eyes, blue skin, snow white fur	50	164	50	70	50	100	153	Dark	Ice	Docile	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Absolite: Triggers Megaevolution ~ Wisp Pendant: Necklace crafted by Storm Fall, protects from Shadow type	Night Slash (70/AT/Dark) +1 Crit Chance ~ Swords Dance (Normal) +2 AT ~ Obstruction (Parry/Dark) -1 DF to foe if hit ~ Pursuit (40/AT/Dark) 2X damage if foe is fleeing	Absolute Zero (150/AT/Ice) Uses foe's SD, always Freezes	Justified: +1 AT if hit by Dark move	Emotion: Team is immune to Insane, Confusion and Flinching	Megaevolution: Form Change Enlightenment	Immense attack, and the ability to boost it quickly, and increase it even further with her Megaevolution, gives Yon a Deoxys-like sweeping potential, unstoppable with good teammates.	Glass cannon, weak to priority moves, status conditions, and fairy types.	Boyfriend: Averly Lamanna ~ Trainer: Niko Harmonia ~ Daughter: Kouri Fubuki ~ Friend: Hadrian Seraphim
Absol	Male	Hadrian	Seraph	H36905921	14/10/1998	WOD, Switzerland, Zurich, Seefeld	Megaevolution Scientist	Bi	Switch	Switch	119	49	40	Felina #1c1a21	Tyler Hoechlin/Akira Ishida	Quick tempered	ISTP	Absols, Hidden Powers, Sonas	Cipher, Tensei, Power Hungry Humans	Black fur and white skin, gold eyes.	65	130	65	75	65	75	96	Dark	Flying	Naive	Yukikyuu: Bracelet gifted by Yonaka Fubuki that turns off a foe Shadow going in Reverse mode. Has a Connection Orb built in.	Knock Off (65/Dark/AT) +50% damage if foe holds item, knocks off item ~ Play Rough (90/AT/Fairy) 10% Chance -1 AT to foe ~ Sucker Punch (70/AT/Dark) +1 Priority, fails if foe isn't attacking ~ Hone Claws (Dark) +1 AT and AC	None	Super Luck: +1 Crit Chance	Riled Up: Boosts AT and SA once when hit by an enemy.	Megaevolution: Form Change Enlightenment	Fearsome switch-in potential, can break several walls and tanks with ease.	Fighting types can give him trouble, not a great strategist.	Friend: Yonaka Fubuki
Arceus	Male	Alan	Turing	H26732843	02/07/1987										Nicholas Dimichele/Yuichi Nakamura						128	128	128	128	128	128	256	Normal 	Electric	Serious	Azure Flute: Triggers Omni ~ Arceusium Z Plate: Turns Judgement into Divine Retribution during Omni, changes Arceus to any type.	Judgement (100/SA/???) Type matches user ~ Extreme Speed (80/AT/Normal) +2 Priority ~ Recover (Normal) Heals 50% HP ~ Empyrean (Normal) All damage to team and foes is nullified for 5 turns	Shin Senken (Normal) 10 turn countdown, OHKO's all foes	Multitype: Type changes to match held Plate or Z-Crystal	Enlightened: Teammates can use Enlightenments immediately.	Omni: Form Change Enlightenment	Don't try to fight him.	Or do. It's not like he exists anyway.	
Aron Lairon Aggron	Male			H52586810	17/09/1982																70	110	190	60	60	60	0	Steel Rock	Ghost	Careful	Aggronite: Triggers Megaevolution ~ Hard Stone: Boosts Rock moves ~ Rockium Z: Turns a Rock move into Continental Crush	Head Smash (150/AT/Rock) 50% Recoil ~ Heavy Slam (AT/Steel) Uses weight for damage calculation ~ Stealth Rock (Rock) 12.5% damage on foe swap ~ Protect (Parry/Normal) Blocks all moves	None	Rock Head: Immune to recoil	Forge a Path: Consumes Belly to break down walls.	Megaevolution: Form Change Enlightenment	Unlike a steel wall, he actually hits back. Hard.	Lacking special bulk.	
Audino	Female	Jen		H52586810	20/01/2003																105	60	85	60	85	50	0	Normal 	Fighting	Calm	Audinite: Triggers Megaevolution ~ Heal Powder: Heals Status Conditions	Secret Power (70/AT/Normal) Effect changes from terrain ~ Healing Wish (Psychic) User faints, fully heals teammate ~ Heal Bell (Normal) Heals all status conditions ~ Low Kick (AT/Fighting) Uses foe's weight for damage calculation	None	Regenerator: Heals 33% HP when switching out	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	Megaevolution: Form Change Enlightenment	Instantly heals any status effects before they have a chance of doing damage, and can also take a hit.	Offense basically amounts to a kick.	
Axew Fraxure Haxorus	Male	Senpu	Tengoku	P87181652	26/04/2001	WOL, Mist Continent	Tengoku Commander	Hetero	Dom	Top	204	125	76	Angelized #f2174a	Sean Chiplock/Shintaro Asanuma	Quick tempered	ISTJ	Metallurgy, Flags, Post Town	His Tusks, Being Challenged, Focus Sashes	Yellow plates are red.	75	150	90	60	70	96	132	Dragon	Steel	Naughty	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Vexillum Pack: Holds Flags ~ Adventure Backpack: Allows Teams to hold more than 3 items	Swords Dance (Normal) +2 AT ~ Outrage (120/AT/Dragon) Lasts 2-3 turns, Confuses user ~ Earthquake (100/AT/Ground) hits all foes, 2X Damage on digging foes ~ Poison Jab (80/AT/Poison) 30% Poison Chance	Thor Axe (200/AT/Fighting Steel) 2X damage on digging foes	Mold Breaker: Moves ignore abilities	Evasive Rhythm: The team can dodge multi hit attacks much easier.	Chaaarge!: Team Attacks are replaced with Charge: Devastating, but might miss.	Excellent Wallbreaker with serious coverage.	Priority Revenge sweepers cripple him hard.	Friends: Dairou Tengoku, Tsutami Tengoku, Susanoo Tengoku ~ Rival: Nezumi Tengoku
Blitzle Zebstrika	Male	Ixion		P80954556	11/12/1989										David Schaufele/Daisuke Namikawa						75	100	65	80	65	115	0	Electric	Grass	Mild	Volt Saddle: +1 SP to whole team if held by Zebstrika	Hidden Power (???/60/SA) ~ Volt Switch (70/SA/Electric) Switches places with teammate ~ Thunderbolt (90/SA/Electric) 10% Paralysis chance ~ Wild Charge (90/AT/Electric) 25% Recoil	Muon Kick (300/AT/Fighting Electric) Fails if user is hit	Motor Drive: +1 SP when hit by Electric type, nullifies damage	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None	Can build up speed rather quickly and then strike foes when they least expect it.	Mediocre bulk, can't learn many other moves.	
Buizel Floatzel	Female			P74501165	26/02/2004																80	100	50	80	50	130	0	Water	Psychic	Naive	Carubyncle: Red gem slotted in her forehead, grants eternal youth. ~ Seal Case: Holds Seals	Hydro Pump (110/SA/Water) ~ Liquidation (85/AT/Water) 20% chance -1 DF to foe ~ Aqua Jet (40/AT/Water) +1 Priority ~ Ice Punch (75/AT/Ice) 10% Freeze Chance	None	Swift Swim: 2X SP in rain	Notorious Restoration: Items restore more HP and Belly.	None	Much quicker than most Floatzels, one of the best swimmers around.	Requires plenty healing, water types are a problem.	
Buizel Floatzel	Male			P13395065	23/05/1985		Hacker	Bi													85	105	55	85	55	110	0	Water Fighting	Dark	Timid	Chip Bag: Holds Devices	Hydro Pump (110/SA/Water) ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Taunt (Dark) Foe can't use status moves for 3 turns ~ Pursuit (40/AT/Dark) 2X damage to fleeing foes	None	Water Veil: Immune to Burn and Ligma.	Squeeze Out: The whole team can squeeze extra PP once per battle.	None	Good offensively, many tricks up his sleeve.	Can be revenge hit, grass types are a problem.	
Bulbasaur Ivysaur Venusaur	Female			P75434977	31/05/1973																80	83	85	100	100	80	0	Grass Poison	Ghost	Rash	Grassium Z: Turns a Grass move into Bloom Doom	Growth (Normal) +1 AT and SA, +2 if sunny ~ Sludge Bomb (90/SA/Poison) 30% Poison chance ~ Giga Drain (75/SA/Grass) Heals 50% Damage ~ Frenzy Plant (150/SA/Grass) 1 turn recharge	None	Chlorophyll: 2X SP when sunny	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Megaevolution: Form Change Enlightenment	Sunny weather turns her into a horrifying sweeper.	Doesn't handle bad type matchups well.	
