IQ,Group,Name,Target,Description,Notes
0,-,Course Checker,Partner Pokémon,"If this Pokémon has a foe targeted for a move or a thrown item, it will check first for walls and other Pokémon that may get in the way. It will stop if there is an obstacle.","In the case of linked moves, Course Checker will only check the first one. So if the combination is Growl+Razor Leaf, the Razor Leaf could still be wasted as it has more terrain limitations than Growl."
0,"A,B,D",Dedicated Traveler,Partner Pokémon,The Pokémon will focus on traveling. It will use moves and items less often.,"As long as moving is an option, the partner will do so and not stop to attack any nearby Pokémon."
0,-,Escapist,All Pokémon,"The Pokémon has the power to let rescue targets escape a dungeon. This is an essential IQ Skill for exploration teams. Team members must always be ready to use this skill, so it can't be turned off.",
0,-,Exclusive Move-User,Partner Pokémon,"The Pokémon only uses moves, not its regular attack. It won't use moves that are out of PP or moves with a link that will delink if used one more time.","This can be used in conjunction with the move menu to get the partner to use a particular attack, or to simply do nothing."
0,-,Item Catcher,All Pokémon,"The Pokémon can catch and hold a thrown item, unless it is already holding an item. It can't catch seeds or health drinks.","Projectiles like Gravelerocks or Iron Thorns can be caught by team members, but not by enemies."
0,-,Item Master,Partner Pokémon,The Pokémon will use or throw its hold item.,This skill must be turned on for the Pokémon to use Reviver and Reviser Seeds. It does not prevent the Pokémon from using Natural Gift with a held Seed or Berry.
5,G,PP Checker,Partner Pokémon,The Pokémon will stop using linked moves that are on the verge of delinking. It also stops using moves with no PP left.,"As it is possible to stop partners using a particular move, this can safely be switched with Exclusive Move-User when required. This skill doesn't take Pressure into account, resulting in linked moves still becoming delinked when one move has 2 PP remaining."
10,"E,H",Efficiency Expert,Partner Pokémon,"When near several enemies, the Pokémon will target the one that has the lowest HP.","Checks the enemy's HP number, rather than percentage of HP remaining."
25,-,Status Checker,Partner Pokémon,The Pokémon will not use moves that cause a status problem if the target already has the same status problem.,"If Exclusive Move-User is on (and Weak-Type Picker is off), a Pokémon will ""watch carefully"" and do nothing if its move choice is stopped by Status Checker. This skill also stops the Pokémon from using healing moves unless an ally has a status condition or is at critical HP."
30,"B,E",Cheerleader,Partner Pokémon,"The Pokémon cheers on nearby team members, boosting their Attack and Special Attack by 1 level.","Works for adjacent allies. Two adjacent allies will boost each other if both of them have Cheerleader, but a Pokémon adjacent to more than one ally with this skill only receive one boost."
40,-,Nontraitor,All Pokémon,"If the Pokémon has a Confused status or a Cowering status, its wildly aimed attack will not hit friends.",Also applies during Blinker status. Turning this skill off allows a Pokémon to target its teammates with certain beneficial moves like Role Play and Sketch when affected by these status conditions. Moves that normally damage teammates (like Earthquake) are unaffected.
50,"A,G",Acute Sniffer,All Pokémon,"When it reaches a new floor, the Pokémon knows the number of items that are lying on the ground.","This number includes buried items, which are normally inaccessible."
55,"A,D,F,G,I,J",PP Saver,All Pokémon,The Pokémon will occasionally use a move without consuming PP.,8% activation rate; ignores Pressure but not No-Charger. Conserves PP for all moves in a linked set.
65,"B,E,H",Bodyguard,All Pokémon,"If a team member next to this Pokémon is in trouble and has low HP, the Pokémon will step in to take attacks aimed at the friend.","Works for allies below 25% HP when an attack is used. Only works against single-target attacks. If an ally falls below 25% HP during a move with multiple hits, a Pokémon with Bodyguard will take the remaining attacks. The skill will not activate if the Pokémon with Bodyguard is affected by certain status conditions."
70,"D,F,G,H,I",Self-Curer,All Pokémon,The Pokémon recovers faster than usual from status problems.,Volatile status conditions last for half as many turns (rounded up).
100,"C,E,H",Brick-Tough,All Pokémon,"The Pokémon's body becomes tougher, which gives it more HP. This IQ Skill can't be turned off.",Increases maximum HP by 10.
105,"A,B,C,F",Type-Advantage Master,All Pokémon,The Pokémon critical-hit rate is boosted when attacking enemies that have a type disadvantage.,"Super-effective attacks have a 40% chance to score a critical hit. Other critical-hit rate bonuses are ignored, except for those that would set it to 100% or zero."
125,"F,J",Weak-Type Picker,Partner Pokémon,"When near several enemies, the Pokémon will target the one that has a type disadvantage.","Causes allies to consider all of its moves when deciding on what to do, rather than only a single move at random per turn and the regular attack."
130,"C,E,I",Power Pitcher,All Pokémon,"The Pokémon's throwing power is boosted, so thrown or hurled items inflict greater damage.","Increases throwing damage dealt by 50%. Does not affect fixed damage items like Geo Pebbles, or Gravelerocks, but causes thrown sticky items and Unown Stones to inflict 3 damage instead of 2 and 90 damage instead of 60, respectively."
140,"A,C,E,I",Survivalist,Leader Pokémon,The Pokémon's Belly fills up more than usual from eating. It may also resist the bad effects of eating Grimy Food.,Increases Belly gained by 10% (rounded up). 50% chance to consume Grimy Food with no ill effects.
150,"A,B,H",Coin Watcher,All Pokémon,"The Pokémon has a keen eye for money. When picking up Poké, it will find more than usual.",Increases money earned from picking up coins by 20% (rounded down). Only applies to coins directly picked up by a Pokémon with this IQ skill.
160,"A,B,C",Nonsleeper,All Pokémon,The Pokémon resists sleep inflicted on it from traps and enemy moves.,"Prevents the Pokémon from falling asleep for any reason, including Sleep Seed and Rest."
170,"B,D,F,J",Gap Prober,All Pokémon,"The Pokémon can send thrown items and deliver its moves through team members to target only enemies. For this IQ Skill to work, the Course Checker skill must be turned off.",Disabling Course Checker may also cause ally Pokémon to waste PP trying to attack enemies through walls.
175,"B,E,H",Wise Healer,All Pokémon,The Pokémon recovers more HP than usual if it uses an HP-healing move or item.,"Increases HP gained from Oran Berries, Sitrus Berries, and moves by 15% (rounded down)."
180,"E,F,H,J",Wary Fighter,All Pokémon,"If the Pokémon misses its attack, it takes a step back to distance itself from its target.","Also applies to self-targeting moves like Protect, but not to line-of-sight moves. Triggers upon at least one miss. Absorbed/nullified moves count as a miss. Immediately ends status effects which prohibit travel. Pokémon that step into tiles they cannot normally enter (such as water or lava) will warp randomly."
185,"C,D,J",Concentrator,All Pokémon,"The Pokémon is focused on making its attacks hit, so its accuracy is boosted by 1 level. Its evasion is reduced by 1 level, however.","All moves with 5 accuracy stars (and some moves with 4 accuracy stars, along with Blizzard) will no longer miss under normal conditions. Overrides the accuracy bonus granted to female Pokémon. No Guard's effect prevents this skill from working, even for the user."
190,"B,E,H,I",Deep Breather,All Pokémon,"When it reaches a new floor, the Pokémon breathes deeply, which slightly restores the PP of its moves.",1 PP is restored per floor. This affects a random move among those that do not have full PP.
195,"C,D,G,I,J",Practice Swinger,All Pokémon,"When the Pokémon fails to hit the target with an attack or move, its Attack and Special Attack get boosted for only the next turn.","Attack and Special Attack are boosted until the Pokémon successfully deals damage or the next turn ends (whichever occurs first). In the case of multi-target moves or multi-strike moves, the boost only applies to a single hit."
200,B,EXP. Go-Getter,Partner Pokémon,"When battling several foes, the Pokémon will first target the Pokémon that are worth the most Exp. Points.","While all Pokémon in the team share the experience points, this will usually make the partner attack the stronger foes."
200,"C,G,I",Exp. Go-Getter,Partner Pokémon,"When near several enemies, the Pokémon will target the one that is worth the most Exp. Points.",Outlaws are worth 0 Exp. Points.
220,"C,I",Aggressor,All Pokémon,"The Pokémon becomes very aggressive, so its Attack and Special Attack are both boosted by 1 level. Its Defense and Special Defense are both reduced by 1 level, however.",Stacks with Counter Basher and an ally's Cheerleader.
230,"E,J",Defender,All Pokémon,"The Pokémon becomes very defensive, so its Defense and Special Defense are both boosted by 1 level. Its Attack and Special Attack are both reduced by 1 level, however.",
240,"D,G",Trap Avoider,Partner Pokémon,The Pokémon avoids stepping on visible traps (and Wonder Tiles) when walking.,Switching places with the partner when standing on a trap will not count towards Trap Avoider. Partners will also avoid Wonder Tiles.
250,"E,J",Energy Saver,Leader Pokémon,The Pokémon's Belly empties slower.,Belly lasts 33% longer.
260,"D,F,I",Sharpshooter,All Pokémon,Boosts the critical-hit ratios of the Pokémon's moves and attacks.,"Increases critical-hit rate by a flat 15%. Identical to Scope Lens, with which it does not stack."
270,"F,G,J",Hit-and-Runner,All Pokémon,The Pokémon may avoid a counterstrike that the enemy uses in response to being struck with an attack or move.,Ignores counterattacks 33% of the time.
280,C,Counter Basher,All Pokémon,"The Pokémon takes on the Counter status, so it counterstrikes under certain conditions. Its Defense will be reduced by 1 level, however.","12% chance to counterattack adjacent foe for 100% of damage taken. Cuts corners, and stacks with other Counter effects."
290,"E,G,H,I",Quick Healer,All Pokémon,The Pokémon's natural HP-recovery speed is boosted.,"Natural HP recovery speed is doubled. Gives the same benefit as the Heal Ribbon, with which it does not stack."
300,F,Lava Evader,Partner Pokémon,The Pokémon will avoid fiery lava.,"Any non-fire Pokémon that can travel over lava (including through later IQ skills) will get the Burn condition on stepping over it. As they would normally do it without thought, this stops the problem."
310,"A,F,J",Multitalent,All Pokémon,The Pokémon becomes so talented with its moves that it gets slightly more PP to spend on them. This IQ Skill can't be turned off.,Increases maximum PP of all moves by 5.
320,"F,G",Exp. Elite,All Pokémon,The Pokémon earns extra Exp. Points after defeating enemies.,Additive 10% bonus to experience gained.
330,"D,E",Counter Hitter,All Pokémon,"The Pokémon takes on the Mini Counter stats, which makes it strike back against attackers in certain conditions.","12% chance to counterattack adjacent foe for 1/4 of damage taken. Cuts corners, and stacks with other Counter effects."
340,"C,G",Erratic Player,All Pokémon,"The Pokémon's battle performance is erratic, so the positive and negative effects of types influence the power of moves more intensely. This affects the power of moves that the Pokémon uses, as well as the power of moves that hit the Pokémon!","Multipliers for super-effective/not very effective/ineffective damage change from 140%/70%/50% to 170%/50%/25%, respectively. Skill can be turned off to lessen the negative impacts of a type disadvantage, unless the enemy also has Erratic Player."
350,"A,B",Haggler,Leader Pokémon,"The Pokémon can bargain with Kecleon merchants in dungeons, so it will get lower prices for purchases and higher prices for items it sells.","Sell prices are 20% higher, and buy prices are 20% lower."
360,"C,D",Clutch Performer,All Pokémon,"If the Pokémon's HP gets dangerously low, its evasiveness is boosted by 2 levels.","Activates below 25% HP. No Guard's effect prevents this skill from working, even for the user."
370,A,Collector,All Pokémon,"When an enemy is defeated, the chances that it will leave a treasure box behind are slightly better.",Improves treasure box drop rate to 1 in 9. Only applies if the Pokémon with Collector dealt the finishing blow.
400,"A,F,H,I",All-Terrain Hiker,All Pokémon,The Pokémon gains the ability to cross water and lava and walk through gulleys.,Pokémon will warp if this skill is disabled while occupying a normally-inaccessible tile.
420,"A,B,F,H",Trap Buster,All Pokémon,The Pokémon may remove traps it steps on. Beware: this IQ Skill won't work all of the time and also affects Wonder Tiles.,33% chance to destroy a trap instead of triggering its effect.
440,"D,G,H",Critical Dodger,All Pokémon,The Pokémon is able to slip out of the reach of dangerous attacks so that critical hits don't make an impact.,Provides the same effect as Battle Armor and Shell Armor.
480,"A,D,F,G,J",Stair Sensor,All Pokémon,"When it reaches a new floor, the Pokémon uses its intuition to know where the floor's stairway is.",Points towards one of eight directions.
500,"E,J",Sure-Hit Attacker,All Pokémon,The Pokémon's regular attacks never miss.,
520,"C,D,I",Extra Striker,All Pokémon,"The Pokémon attacks at a faster rate, so it may lash out with an extra attack right after its first one.",33% chance to use regular attack twice.
540,"D,G,H,I",Quick Dodger,All Pokémon,The Pokémon becomes better at evading attacks and moves.,Most attacking moves have two associated accuracy values that are multiplied together; Quick Dodger reduces both by a flat 10%.
550,"B,H",Fast Friend,Leader Pokémon,Improves the chances that defeated enemies will want to join the exploration team.,Boosts recruitment chance by 5%. Required along with Golden Mask and a level 99+ leader for recruiting Kecleon.
560,"C,E,I,J",Intimidator,All Pokémon,"Under certain conditions the Pokémon can intimidate an enemy that attacks, which gives it a Cringe status condition.","33% chance to cancel an incoming close-ranged attack, regardless of the direction the attacker is facing. PP is still deducted from the attacker. Attackers with Inner Focus are unaffected. Does not affect line-of-sight moves, room-range moves, or thrown items. Can affect allies if they target the Intimidator with a close-ranged move for any reason."
570,"C,F",No-Charger,All Pokémon,"The Pokémon charges then unleashes any move that normally requires 2 turns in only one turn. Powering up these charge-up moves so quickly consumes 2 PP, however.","When the Pokémon's attack frequency is boosted by Unburden, Swift Swim, or Chlorophyll, the second instant use of an affected move will cost an additional 1 PP, consuming 3 PP total."
580,"A,G,J",Map Surveyor,All Pokémon,The Pokémon is able to sense the layout of the dungeon floor.,Does not reveal the location of the stairs.
