ID,Name,Generation,Description
1,Stench,3,"By releasing a stench when attacking, the Pokémon may cause the target to flinch."
2,Drizzle,3,The Pokémon makes it rain when it enters a battle.
3,Speed Boost,3,The Pokémon's Speed stat is boosted every turn.
4,Battle Armor,3,Hard armor protects the Pokémon from critical hits.
5,Sturdy,3,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
6,Damp,3,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
7,Limber,3,The Pokémon's limber body prevents it from being paralyzed.
8,Sand Veil,3,Boosts the Pokémon's evasiveness in a sandstorm.
9,Static,3,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
10,Volt Absorb,3,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
11,Water Absorb,3,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
12,Oblivious,3,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
13,Cloud Nine,3,Eliminates the effects of weather.
14,Compound Eyes,3,The Pokémon's compound eyes boost its accuracy.
15,Insomnia,3,The Pokémon's insomnia prevents it from falling asleep.
16,Color Change,3,The Pokémon's type becomes the type of the move used on it.
17,Immunity,3,The Pokémon's immune system prevents it from being poisoned.
18,Flash Fire,3,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
19,Shield Dust,3,Protective dust shields the Pokémon from the additional effects of moves.
20,Own Tempo,3,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
21,Suction Cups,3,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
22,Intimidate,3,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
23,Shadow Tag,3,The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.
24,Rough Skin,3,The Pokémon's rough skin damages attackers that make direct contact with it.
25,Wonder Guard,3,Its mysterious power only lets supereffective moves hit the Pokémon.
26,Levitate,3,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
27,Effect Spore,3,"Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker."
28,Synchronize,3,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
29,Clear Body,3,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
30,Natural Cure,3,The Pokémon's status conditions are cured when it switches out.
31,Lightning Rod,3,"The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
32,Serene Grace,3,Raises the likelihood of additional effects occurring when the Pokémon uses its moves.
33,Swift Swim,3,Boosts the Pokémon's Speed stat in rain.
34,Chlorophyll,3,Boosts the Pokémon's Speed stat in harsh sunlight.
35,Illuminate,3,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
36,Trace,3,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability."
37,Huge Power,3,Doubles the Pokémon's Attack stat.
38,Poison Point,3,Contact with the Pokémon may poison the attacker.
39,Inner Focus,3,The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.
40,Magma Armor,3,The Pokémon's hot magma coating prevents it from being frozen.
41,Water Veil,3,The Pokémon's water veil prevents it from being burned.
42,Magnet Pull,3,Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.
43,Soundproof,3,Soundproofing gives the Pokémon full immunity to all sound-based moves.
44,Rain Dish,3,The Pokémon gradually regains HP in rain.
45,Sand Stream,3,The Pokémon summons a sandstorm when it enters a battle.
46,Pressure,3,"Puts other Pokémon under pressure, causing them to expend more PP to use their moves."
47,Thick Fat,3,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
48,Early Bird,3,The Pokémon awakens from sleep twice as fast as other Pokémon.
49,Flame Body,3,Contact with the Pokémon may burn the attacker.
50,Run Away,3,Enables a sure getaway from wild Pokémon.
51,Keen Eye,3,The Pokémon's keen eyes prevent its accuracy from being lowered.
52,Hyper Cutter,3,"The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat."
53,Pickup,3,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too."
54,Truant,3,"Each time the Pokémon uses a move, it spends the next turn loafing around."
55,Hustle,3,Boosts the Pokémon's Attack stat but lowers its accuracy.
