Short Name,Default Species,Default Gender,Heart Color,Short Backstory,Teams,Alias,Full Name,Birth Place,Birth Day,Default LV,Default Height/Length (Cm),Default Weight/Mass (Kg),Aura Color,Hidden Type,Favorite Items
Adam,Raichu,Male,Iridescent,"On 2005-11-17, at 15 years old, Adam found Eve passed out in Tiny Woods and formed Rescue Team Ganden with her, giving her his Normal Type house he accidentally obtained on his birthday. Ever since, his loyalty towards her was unbreakable, to the point he decided to side with her when she got exiled by Square Town. He followed her and protected her across the entire continent just so the two could meet Ninetales and prove that she was innocent. Since then, they dedicated their lives repairing the damaged relationship between the isolated Legendaries and Mythicals, and the ordinary Pokemon civilizations. After evolving and conquering Purity Forest, Adam started doubting that he was the perfect partner for Eve. His heart turned Shiny and he started isolating himself. His heart became Iridescent when Eve convinced him to live with her. Adam and Eve married at midday in 2009-01-01. ||| Even before evolving or going through exile, Adam was infamous for his coolness and optimism even in the most dire of situations. His calmness and altruism is almost unnatural, and he could reassure even the most anxious teammates, or help out several Pokemon with even the most boring of tasks without feeling tired. At the same time, he is a spectacular **Rushdown**, not letting his foes breathe with his ridiculous speed and power. He isn't that smart though, and can sometimes take things too lightly. This is why he becomes terrifying when a born strategist is in charge, especially Eve, as he can tell exactly what she's thinking with just a glance.",Ganden,Divine Man,Adamus Ganden,"Air Continent, Tiny Woods",1990-09-22,255,33 ~ 52 ~ 96 ~ 88,2 ~ 9 ~ 41 ~ 36,Stately Silver,Fighting,TODO
Ade,Darkrai ,Male,Standard,TODO,N/A,TODO,Hades Hermagoras,Grass Continent,TODO,195,192,58,Vivid Pink,Psychic,TODO
Aenor,Azumarill,Female,Standard,"Aenor is Hansel and Gretel's mother. Hansel and Gretel helped her with heavy tasks like shopping while she was sick, until Hansel and Gretel used a Water Float to heal her. She later went looking for a job from Puck, which told her that Jerome was hiring someone to run the Request Counter and Request Gate in Paradise. She decided to leave her house to Hansela and Gretel, and moved to Post Town as a result, sending them money from time to time.",Tengoku,TODO,Aenor Marida,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Ai,Espeon,Female,Iridescent,"They are two dungeon researchers who work as partners. Together; they uncovered the secrets of how Mystery Dungeons work. The duo separates after Todd and Euni attack them both for their Entercards. Kosuke takes two Entercards that they created and Ai takes the other two. Kosu manages to reach Post Town and is cared for by Swanun; but Ai is still on the run from the pursuers. She eventually meets [SWADLOON] in Inflora Forest and gives him the Entercards so Todd and Euni won't find them when they inevitably apprehend Ai. Ai then gets saved by Tengoku. Kosuke reveals they met Diane in the past and why she seems distant towards others. Ai and Kosuke have been studying Magnagates, Entercards, and Ley Lines since. They also were the ones who contributed the Ley Lines view in the Nexus Map.",Tengoku,TODO,Aiko Nonaka,Mist Continent,TODO,170,35 ~ 86,7 ~ 26,Fiery Red,Fairy,TODO
Alder,Alakazam,Male,Standard,"Alder was trained by [LUCARIO], the very first Guildmaster. Afterwards, he formed Team A.C.T., the third Rescue Team in the world to achieve Gold Rank. He put his rapid ascent on hold after realizing Eve was a human, and witnessing Team Ganden's even more rapid ascent without any prior training. He suspected Eve was the human from the Ninetales legend. Because of his own doubts, he got tricked by Giuda to lead the hunt when Eve and Adam became fugitives. Alderic and his team was lead all the way up to Mount Freeze, where he found out first hand that Eve was innocent. When [GROUDON] awakens and starts an earthquake, Alderic and his team decide to make up for their mistake by taking down [GROUDON]. Even then, [GROUDON] proved to be too much, and he needed Eve and Adam's help to take him down. Afterwards, he personally awarded Eve and Adam their gold rank. When Eve and Adam decided to take down the Great Meteor, he was one of the Pokemon that helped to create the Teleport Gem. After personally witnessing Adam and the rest of Square Town going through the rollercoaster of emotions that was Eve's disappearance and revival, he decides to become Eve and Adam's mentor and manager during his free time not handling Team A.C.T..",A.C.T.,TODO,Alderic Shehu,Air Continent,TODO,TODO,TODO,TODO,Mystic Purple,Poison,TODO
Aldi,Armaldo,TODO,Iridescent,TODO,N/A,TODO,Aldwin,Grass Continent,TODO,TODO,TODO,TODO,Energetic Yellow,Normal,TODO
Alph,Glaceon,Male,Iridescent,TODO,N/A,TODO,Alphonse Darrel,TODO,1967-08-19,93,30 ~ 81,7 ~ 29,Stunning Orange,Ghost,TODO
Alt,Manaphy,Male,Iridescent,"One day, Vega and Lyra find out from [SUNFLORA] that Surrounded Sea suddenly revealed itself, supposedly home to hundreds of rare treasures brought by the currents that run through it. At the end of Surrounded Sea, there are three Deluxe Boxes, but also a Wonder Egg for some reason. After many flustered back and forths, Vega and Lyra decide to take care of it. The next morning, the Egg hatches into a Manaphy. The team goes to see [CHATOT], who says that Manaphy are extremely rare. Vega and Lyra, even more flustered, decide to take care of him and call him Altair. A day later, Vega and Lyra take Altair for walks, feed him, and play with him while they're not handling Guild work. That night, however, when Vega and Lyra are asleep, Altair stays up and longingly stares out at the sea, eventually resorting to go to the shore. When the two wake and finds Altair missing in the morning, they run around in a panic, trying to find it. They finally find him at the beach, where he suddenly keels over in the sand. Once the team reports to [CHATOT], the Chatot says that Manaphy are really supposed to grow up in the ocean. However, Altair's current ailment could only be cured by the Phione Dew, located in Miracle Sea. At the end of the dungeon, there are six Phione, who are driven away suddenly by an enraged, treasure-seeking Gyarados. After defeating Gyarados, he runs away, and in their thanks, the Phione gives Vega and Lyra the Phione Dew. After Altair is cured and with a few days of rest, [WALREIN] is told by [CHATOT] to take care of Altair under the sea. With a tearful farewell, Altair is taken to its home. Altair returned many months later after Hades got defeated by Vega and Lyra, and became surprisingly strong. Vega and Lyra decided to make him officially join Team Chronos. To this day, Altair keeps calling Vega and Lyra their parents even though he was mostly raised by [WALREIN]. His heart became Shiny and Iridescent when he found out Capella was going to be his little sister.",Chronos,TODO,Altair Chronos,Grass Continent,2003-08-08,250,39,2,Gentle Mint Green,Psychic,TODO
Ansa,Octillery,Female,Standard,"Ansa and her partner Traff formed Team Constrictor, a team that specializes in binding foes into submission. They also restored a Root Fossil into a young Lileep, who eventually joined the team and evolved. Ansa was one of the Pokémon who volunteered to take down Groudon once Team A.C.T. did not return. She did not succeed, however. When Eve and Adam succeeded in her place, it motivated her and the rest of her team to challenge other teams in the Makuhita Dojo, to become stronger.",Constrictor,TODO,Ansa Irvine,Air Continent,TODO,TODO,TODO,TODO,Smart Marine Blue,Electric,TODO
Anto,Absol,Male,Iridescent,"Unlike Mount Thunder and Mount Blaze, Mount Freeze could not be guarded by one single Legendary Bird alone, for it was interconnected with Frosty Forest. A long time ago, Anto, a disaster hunter, decided asked [ARTICUNO] to let him help, taking turns with her to guard both. As the disasters became more aggressive however, he tried venturing further south more often, to find the cause. One day he spotted Eve and Adam in a dire state, probably being fugitives. He initially suspects they could have gotten in trouble for causing the disasters, but couldn't sense any oblivion from them. As they got attacked by [ARTICUNO] and explained their situation, Anto intervened to save them. One thing leads to another, and Anto joins Eve and Adam's Team Ganden. When Frosty Forest was confirmed safe, he immediately got tasked with returning to the base to help out Pokémon in need and find more information about the true cause of the disasters, while Adam took Eve to Mount Freeze to prove once and for all that she's innocent. Later, when the Great Meteor was destroyed by Eve and Adam, he started joining Rescue missions to save Pokémon who were affected by the previous disasters, so he could directly see the effects that disasters had on Pokémon instead of observing and predicting them from afar. This turned his heart Shiny. Years after, he discovers from the Expedition Society that not only a human's light allows Pokémon to evolve without needing a Luminous Spot, but holding the right Key Stone and Mega Stone, a human can even Megaevolve a Pokémon. Because of this, he now hangs around Eve a lot more often. This turned his heart Iridescent.",Ganden,TODO,Anthony Monsoon,Air Continent,TODO,TODO,133 ~ 135,58 ~ 60,Clear Aqua Blue,Flying,TODO
Arthur,Watchog,Male,Standard,"Arthur used to live in Post Town, but after seeing Paradise's success, decided to train like hell and pioneer the Alliance Attack, a powerful technique that allows the entire team to surround one enemy and unleash their moves all at once. This caused severe strain on Arthur's body however, and required a lot of nutrients and food. Afraid of getting out of shape, Arthur decides to join Plinus in Serene Village school, hoping to teach this technique to younger, healthier students. He has a short temper and he sometimes thinks of himself to be the best. He is shown to get quite annoyed at Selene.",N/A,TODO,Arthorias Capitani,Mist Continent,TODO,TODO,TODO,TODO,Deep Green,Water,TODO
Aster,Zapdos,TODO,Standard,"Zapdos captures Shun after he breaks the cloud he was sleeping in; and takes him to Mt. Thunder. He gets defeated by Eve and Adam. He almost gets back up, before Team A.C.T. intervened. He decides to acknowledge Team Ganden's strength, and gives them back Shun.",N/A,TODO,Asteropeia,Air Continent,TODO,TODO,TODO,TODO,Vivid Pink,Poison,TODO
Asti,Salazzle,Female,Shiny,"In the Sand Continent, outlaws spent their time as servants instead of being stuck in prison, because it allowed to serve their time much faster by helping out Pokemon who temporarily bought them. Asti used this to lure and kidnap inexperienced Pokemon who seeked a new profession in Silt Village, and sell them as outlaw slaves, with fake crimes they never committed. She was apprehended by Betelgeuse, one of her victims who recently became an officer. She later was bailed out by Storm in exchange for her loyalty. It's unclear where Asti is right now, but she must be serving a LONG time.",N/A,TODO,Astrit Despoina Nemain,Grass Continent,TODO,56,65 ~ 138,4 ~ 23,Gentle Mint Green,Flying,TODO
Aston,Feraligatr,Male,Standard,"Aston joined Team Hydro last, but like Jerry, he used to be quiet... until many years later, out of nowhere, he Devolved, turned his heart Shiny, and decided to join the Solstice Academy for a few years. There he met Squall. He became very close to him which quickly turned his heart Iridescent, even though Squall has no intention of ever joining Team Hydro.",Hydro,TODO,Athelstan Jackson,Air Continent,TODO,80,59 ~ 111 ~ 244,9 ~ 25 ~ 90,Clear Aqua Blue,Electric,TODO
Ather,Absol,Female,Iridescent,"Very little is known about her. The only people who knew her were Inari and Anto. Apparently she used to be Anto's partner, and Yonaka was their daughter, but both Yonaka, Anto and Inari seem to dissociate and become depressed when asked where she is.",N/A,TODO,Aetherius Fubuki,Air Continent,TODO,TODO,121 ~ 122,42 ~ 44,Energetic Yellow,Psychic,TODO
