Name,Description,Rank Requirement,Build Cost,Upgrade Cost,Overhaul Cost
Berry & Seed Store,Sells various Berries & Seeds,Normal Rank,300₽; Rich Soil * 2; Precious Branch * 2,600₽; Ancient Soil * 3; Heavy Lumber * 3,1000₽; Rare Soil * 4; Fine Log * 4; Elite Boutique
Elite Boutique,Sells various Orbs and miscellaneous items,Gold Rank,900₽; Sturdy Vine * 2; Fresh Herb *2,600₽; Hardy Vine * 3; Leaf Bouquet *3,1000₽; Everlasting Vine * 4; Grass Veil * 4; Oodles of Orbs
Oodles of Orbs,Sells various randomised items. Often has sales on the items  selling at very low prices.,Platinum Rank,1000₽; Sturdy Vine * 1; Fresh Herb * 1,600₽; Hardy Vine * 1; Leaf Bouquet * 1,1000₽; Everlasting Vine * 1; Grass Veil *1; Swap Shop
Swap Shop,Offers trades for various items such as Berries & Orbs,Gold Rank,300₽; Precious Branch * 2; Lustrous Metal * 2; Hard Fragment * 2; Sturdy Vine * 2; Reverse Herb * 2,600₽; Heavy Lumber * 3; Glimmering Alloy * 3; Unbreakable Rock * 3; Hardy Vine * 3; Leaf Bouquet * 3,1000₽; Fine Log * 4; Gilded Metal * 4; Endless Stone * 4; Everlasting Vine * 4; Grass Veil * 4; Prize Palace
Prize Palace,Allows you to purchase and exchange tickets for random prizes,Bronze Rank,300₽; Lustrous Metal * 2; Sturdy Vine * 2,600₽; Reflective Alloy * 3; Hardy Vine * 3,1000₽; Gilded Metal * 4; Everlasting Vine * 4; Side-road Guide
Side-road Guide,Tells of a special location inside a Dungeon,Silver Rank,300₽; Rich Soil * 2; Precious Branch * 2,600₽; Ancient Soil * 3; Heavy Lumber * 3,1000₽; Rare Soil * 4; Fine Log * 4; Music Paradise
Music Paradise,Allows for various music to be played in the Pokémon paradis,Complete game,4500₽; Rare Soil * 3; Endless Stone * 3; Gilded Metal * 3; Fine Log * 3,,
Beartic Hockey,Allows you to play a mini-game to win prizes such as evolution items,Bronze Rank,300₽; Precious Branch * 3; Reverse Herb * 3; Spring Water * 3,,
Salvage Treasure,,,,,
Oran Field,Grows Oran Berries,Normal Rank,300₽; Rich Soil * 2; Oran Berry * 1,600₽; Ancient Soil * 3; Oran Berry * 2,1000₽; Rare Soil * 4; Oran Berry * 3; Heal Field
Heal Field,Grows Heal Seeds,Platinum Rank,300₽; Rich Soil * 3; Spring Water * 3; Heal Seeds * 2,600₽; Ancient Soil * 4; Well Water * 4; Heal Seed * 3,1000₽; Rare Soil * 5; Rainbow Drops * 5; Heal Seed * 4; Revive Field
Revive Field,Grows Revive Seeds,Diamond Rank,300₽; Rich Soil * 3; Spring Water * 3; Revive Seeds * 2,600₽; Ancient Soil * 4; Well Water * 3; Reviva Seed * 3,1000₽; Rare Soil * 6; Rainbow Drops * 6; Revive Seed * 6; Eyedrop Field
Eyedrop Field,Grows Eyedrop Seeds,Normal Rank,300₽; Rich Soil * 2; Spring Water * 2; Eyedrop Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Eyedrop Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Eyedrop Seed * 4; Warp Field
Warp Field,Grows Warp Seeds,Silver Rank,300₽; Rich Soil * 2; Spring Water * 2; Warp Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Warp Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Warp Seed * 4; Swift Field
Swift Field,Grows Swift Seeds,Silver Rank,300₽; Rich Soil * 2; Spring Water * 2; Swift Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Swift Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Swift Seed * 4; Blind Field
Blind Field,Grows Blind Seeds,Bronze Rank,300₽; Rich Soil * 2; Spring Water * 2; Blind Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Blind Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Blind Seed * 4; Totter Field
Totter Field,Grows Totter Seeds,Bronze Rank,300₽; Rich Soil * 2; Spring Water * 2; Totter Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Totter Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Totter Seed * 4; Sleep Field
Sleep Field,Grows Sleep Seeds,Bronze Rank,300₽; Rich Soil * 2; Spring Water * 2; Sleep Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Sleep Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Sleep Seed * 4; Bound Field
