ID,EVOID,Pokemon,Class,Rarity,Starter,First Type,Second Type,Egg Group 1,Egg Group 2,First Ability,Second Ability,Hidden Ability,HP,AT,DF,SA,SD,SP,TT,Weight (kg),Weight (lbs),Height (cm),Height (ft in),Shape,♂/♀ Ratio,Growth,Base Connection,Spawn Modifier,Apricorn Chance,Experience,Days To Hatch
1,,Bulbasaur,Seed Pokémon,Uncommon,Classic,Grass,Poison,Monster,Grass,Overgrow,Sap Sipper,Chlorophyll,45,49,49,65,65,45,318,7,15,71,"2'04""",Quadruped,0.875,Slow,50,19,45,64,20
2,1,Ivysaur,Seed Pokémon,Uncommon,No,Grass,Poison,Monster,Grass,Overgrow,Sap Sipper,Chlorophyll,60,62,63,80,80,60,405,13,29,99,"3'03""",Quadruped,0.875,Slow,50,-11,45,142,20
3,2,Venusaur,Seed Pokémon,Uncommon,No,Grass,Poison,Monster,Grass,Overgrow,Sap Sipper,Chlorophyll,80,82,83,100,100,80,525,100,221,201,"6'07""",Quadruped,0.875,Slow,40,-60,45,263,20
3M,3,Venusaur (Mega Venusaur),Seed Pokémon,Uncommon,No,Grass,Poison,Monster,Grass,Thick Fat,Sap Sipper,Chlorophyll,80,100,123,122,120,80,625,155,343,239,"7'10""",Quadruped,0.875,Slow,40,-60,45,263,20
4,,Charmander,Lizard Pokémon,Uncommon,Classic,Fire,,Monster,Dragon,Blaze,Defiant,Solar Power,39,52,43,60,50,65,309,8,19,61,"2'00""",Upright,0.875,Slow,50,19,45,62,20
5,4,Charmeleon,Flame Pokémon,Uncommon,No,Fire,,Monster,Dragon,Blaze,Defiant,Solar Power,58,64,58,80,65,80,405,19,42,109,"3'07""",Upright,0.875,Slow,50,-11,45,142,20
6,5,Charizard,Flame Pokémon,Uncommon,No,Fire,Flying,Monster,Dragon,Blaze,Defiant,Solar Power,78,84,78,109,85,100,534,90,200,170,"5'07""",Upright,0.875,Slow,40,-60,45,267,20
6X,6,Charizard (Mega Charizard X),Flame Pokémon,Uncommon,No,Fire,Dragon,Monster,Dragon,Tough Claws,Defiant,Solar Power,78,130,111,130,85,100,634,110,244,170,"5'07""",Upright,0.875,Slow,40,-60,45,267,20
6Y,6,Charizard (Mega Charizard Y),Flame Pokémon,Uncommon,No,Fire,Flying,Monster,Dragon,Drought,Defiant,Solar Power,78,104,78,159,115,100,634,101,222,170,"5'07""",Upright,0.875,Slow,40,-60,45,267,20
7,,Squirtle,Tiny Turtle Pokémon,Uncommon,Classic,Water,,Monster,Water 1,Torrent,Swift Swim,Rain Dish,44,48,65,50,64,43,314,9,20,51,"1'08""",Upright,0.875,Slow,50,19,45,63,20
8,7,Wartortle,Turtle Pokémon,Uncommon,No,Water,,Monster,Water 1,Torrent,Swift Swim,Rain Dish,59,63,80,65,80,58,405,22,50,99,"3'03""",Upright,0.875,Slow,50,-11,45,142,20
