Team,Name,Surname,Occupation,Items,[Connections]
Bouken,Yonaka,Fubuki,Leader,Carubyncle: Red gem slotted in her scythe; grants eternal youth. ~ Absolite: Triggers Megaevolution ~ Wisp Pendant: Necklace crafted by Storm Fall; protects from Shadow type,Boyfriend: Averly Lamanna ~ Trainer: Niko Harmonia ~ Daughter: Kouri Fubuki ~ Friend: Hadrian Seraphim
Decipher,Hadrian,Seraph,Megaevolution Scientist,Yukikyuu: Bracelet gifted by Yonaka Fubuki that turns off a foe Shadow going in Reverse mode. Has a Connection Orb built in.,Friend: Yonaka Fubuki
Ryu,Alan,Turing,The Human God,Azure Flute: Triggers Omni ~ Arceusium Z: Turns Judgement into Divine Retribution during Omni ~ Legend Plate: Allows Arceus to type change.,
Ballistic,Dimitri,Ural, Juggernaut,Aggronite: Triggers Megaevolution ~ Hard Stone: Boosts Rock moves ~ Rockium Z: Turns a Rock move into Continental Crush,
Zero,Jennifer,Escade,Medic,Audinite: Triggers Megaevolution ~ Heal Powder: Heals Status Conditions,
Tengoku,Senpu,Tengoku,Commander,Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Vexillum Pack: Holds Flags ~ Adventure Backpack: Allows Teams to hold more than 3 items,Friends: Dairou Tengoku; Tsutami Tengoku; Susanoo Tengoku ~ Rival: Nezumi Tengoku
Labor,Ixion,Lapith,News Reporter,Volt Saddle: +1 SP to whole team if held by Zebstrika,
Wave,Katie,Ziegler,Swimming Teacher,Carubyncle: Red gem slotted in her forehead; grants eternal youth. ~ Seal Case: Holds Seals,
Ensei,Kigaru,Ensei,Vice Chief,Chip Bag: Holds Devices ~ Munch Band: +1 AT and SA; lowers belly quicker,
BCV,Golmi,Zahra,Vice Leader,Grassium Z: Turns a Grass move into Bloom Doom ~ Venusaurite: Triggers Megaevolution,
Charm,Barbara,Limestone,Leader,Shin Guards: Fighting type moves don't recoil ~ Lopunnite: Grants Megaevolution,Friend: Onna Limestone; Puck Sora
Ultra,Atlas,Attacus,Portal Operator,Buginium Z: Turns a Bug move into Savage Spinout ~ Macho Brace: 2X XP in exchange of Speed ~ Fuelshaker: Holds Vitamins,
Gearbox,Ether,Dusk,Vice Leader,Power Seed (43): Allows changing a move's type to user's Hidden Power,
BCV,Kona,Ginji,Leader,Charizardite X: Triggers Megaevolution ~ Charizardite Y: Triggers Megaevolution,
Pukurin,Chichi,Sora,Vice Guildmaster,Scope Lens: +1 Crit Chance,
Excalibur,Lithos,Excalibur,Vice Leader,Ammo Belt: Holds Throwing Items ~ Curve Band: Can redirect thrown items in mid air ~ Lockon Specs: Throwable Items have infinite range,
Sky Guard,Eleri,Moloney,Vice Leader,Evergreen Leaf: +30% Power of healing moves ~ Passthrough Scarf: Allows walking on water or lava,
Bold,Kaden,Frei,Hoo-Aah,Double Edge Knuckles: Fighting moves do 2X damage; but have 33% recoil,
Justice,Edward,Shield,Musketeer,Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape,
Gatekeeper,John,Burnham,Chest Buster,Treasure Helmet: Can smash open Treasure Boxes ~ Power Herb: Skips move charging,
Gearbox,Megara,Hermagoras,Guardian,Lunar Wing: If held by Cresselia; Lunar Dance leaves 1 HP instead of fainting,
Vigilante,Cole,Sand,Leader,Thick Club: 2X AT when held by Marowak ~ Amber Tear (12): Guarantees one recruit ~ Lagging Tail: Holder moves last ,
Ganden,Awan,Ganden,Enforcer,Glory Band: Enhanced Twist Band that prevents all stats from lowering. ~ Cubonium Z: Turns Bonemerang into Parent's Help ~ Rescue Toolbox: Allows Teams to hold more than 3 items,Friends: Adam Ganden; Eve Ganden
Kahuna,Yvonne,Aetos,Tailor,Tiny Scarf: +1 EV,
Haruna,Matilde,Quemar,Guitarist,Iron Ball: Halves speed; heavy damage when thrown. ~ Racket Band: Immediately wakes up teammates,Crush: Dairou Tengoku ~ Friends: Nirvana Moksha; Cefca Pagliaccio; Flaros Overfield
Ocean Guard,Varm,Gravling,Journalist,Flame Orb: Burns holder,None
Gearbox,Hades,Hermagoras,Guardian,Black Cloak: If held by Darkrai; Dark Void never misses,
Bold,Long,Wei,Monk,Absorb Bulb (13): +1 SA if hit by Water Type moves ~ Luminous Moss (11): +1 SD if hit by Water Type Moves,
Excalibur,Noemie,Simon,Teacher,White Flute: Increases wild encounters,
Gatekeeper,Canto,Dahl,Voice Of Life,Dragon Fang: Boosts Dragon moves ~ Dragonium Z: Turns a Dragon move into Devastating Drake ~ Quick Claw: 50% chance +1 Priority,
Helix,Poly,Nucleus,Vice Geneticist,Deoxium Z: Turns Psycho Boost into Ethereal Helix Storm ~ Stamina Band: Lowers belly slower,
Dimension Guard,Kongouseki,Izanami,Leader,Adamant Orb: Boosts Dragon and Steel type moves if held by a Dialga; grants Primal Reversion,Brother: Shinju Izanagi ~ Friend: Samael Amphithere
Glitter,Ricardo,Milos,Simulator?,Metal Powder: +1 DF and SD if held by Ditto ~ Quick Powder: +1 SP when held by Ditto,
Wave,Ellen,Mori,Weather Forecast,Carubyncle: Red gem slotted in her tail; grants eternal youth. ~ Eviolite: +1 DF and SD if holder can evolve ~ Adrenaline Orb (32): If one stat decreases; another increases.,
Yuubin,Murray,Kumar,Supply Delivery,Ride Pager: Allows calling for Ride teams or Couriers,
Labor,Silver,Hyde,Terraforming,Soft Sand: Boosts Ground moves,
Vigilante,Pichai,Rara,Support?,Hollow Coin: Psychic moves never miss ~ Customer Scarf: Dodges attacks from teammates,
Ballistic,Vincent,Odin,Sentinel,Expert Belt: Powers up super effective moves.,
Gearbox,Swanun,Acquati,Chef,Forage Bag: Holds food ~ Portable Stand: Crafts Food anywhere,
Gearbox,Jack,Garland,Vice Leader,Reaper Cloth: +1 EV and AC if held by Dusknoir,
Gatekeeper,Ai,Nonaka,Magnagate Scientist,Entercards (14): Summon long-range dungeons from ley lines using 4 cards. ~ Psychium Z: Turns a Psychic move into Shattered Psyche,Husband: Kosuke Toriumi
Decipher,Henry,Navarro,Cipher Researcher,Shiny Charm: Attracts Shiny Pokemon ~ Cologne Case: Holds Purifying Scents ~ Time Flute: Purifies a Pokemon a little,None
Darktime,Sheol,Gehenna,Owner,Choice Band: +1 AT; but can only use one move,
Mamba,Lonly,Abaddon,Occult,Plain Ribbon: Does nothing...?,
Dimension Guard,Gelida,Tempore,Agent,Nevermelt Ice: Boosts Ice moves,
Labor,Satya,Jonas,Programmer,Icium Z: Turns an Ice move into Subzero Slammer ~ Charm Band: Resets foe's priority,
Gatekeeper,Remi,Toriumi,Magnagate Tester,Kosuke Plush: A Kosuke Plush. ~  Cover Band: 25% chance of parrying an attack to a teammate with low HP,Brother: Kosuke Toriumi
Mamba,Zeus,Kimi,Officer,Magnet: Boosts Electric moves ~ Pocket Baller: Holds Apricorns,
Academy,Alaine,Lille,Alchemist,Crystal Sphere: Generates an Orb in exchange of HP ~ Philosopher Stone: Transmutates items ~ Wide Lens: +1 AC,None
Dimension Guard,Finnegan,Beck,Agent,Shiny Leaf: Makes Humans friendly ~ Carefree Bandana: +2 EV in sunlight ~ Wailmer Pail: Waters berries,None
Chronos,Lyra,Chronos,Vice Leader,United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Aura Bow: Changes color based on holder's aura; +1 AT; SA; DF; SD. ~ Treasure Bag: Allows Teams to hold more than 3 items,Husband: Vega Chronos ~ Friends: Sirius Chronos; Betelgeuse Chronos
Glitter,Halcyon,Beri,Artist,Pink Tail: Boost Fairy moves ~ Eevium Z: Turns Last Resort into Extreme Evoboost ~ Pass Scarf: Baton Passes a move's secondary effects to a teammate,None
Decipher,Rachel,Teller,Cipher Researcher,Toxic Orb: Inflicts Badly Poisoned on holder,None
Gatekeeper,Kosuke,Toriumi,Magnagate Scientist,Entercards (19): Summon long-range dungeons from ley lines using 4 cards. ~ Darkinium Z: Turns a Dark move into Black Hole Eclipse,Wife: Ai Nonaka ~ Sister: Remi Toriumi
Bouken,Capella,Chronos,Timeline Technician,Shell Bell: All damage drains 10% HP ~ Gear Charm: Locates Time Gears and Space Gears. ~ Relic Fragment: Grants access to the Temporal Tower,
Mamba,Ton,Rosemary,Modeler,Zoom Lens: +2 Crit Chance if holder moves last ~ Unstick Cap: Prevents Items from being sticky,
Zero,Bentley,Zero,Grunt,Grip Claw: Trap moves last longer ~ Poison Barb: Boosts Poison moves,
Sonic,Laverne,Clacher,Singer,Magnet: Boosts Electric moves,
Gatekeeper,Giulio,Nimbus,Scout,Carubyncle: Red gem slotted in his belly; grants eternal youth.,
Academy,Alphonse,Darrel,Librarian,Fashion Case: Stores Accessories,
Excalibur,Selene,Excalibur,Vice Leader,Firium Z: Turns a Fire move into Inferno Overdrive ~ Enchanted Quiver: Holds Wands,
Gale,Judith,Holzer,Move Teacher?,Carubyncle: Red gem slotted in her beak; grants eternal youth. ~ Botany Diorama: Holds Seeds,
Solar,Shufen,Lin,Mantis,Green Tea: Acts as sunlight for one Pokemon. ~ Silver Powder: Boosts Bug move,
Wave,Chiyoko,Shinoda,Shinobi,Pierce Band: Thrown items go through walls and Pokemon ~ Trap Scarf: Prevents traps from activating,
Excalibur,Cooper,Excalibur,Leader,Dodge Scarf: Dodges thrown items ~ Smoke Ball: +2 EV while fleeing ~ Defuse Scarf: 50% chance of disabling triggered traps,
