[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Position]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Hito]	[MBTI]	[Loves]	[Hates]	[Description]	[Characteristic]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Abra Kadabra Alakazam	Male			50828121																																				
Absol	Female	Yonaka	Fubuki	92871755	23/12/2003	WOD, Japan, Kansai, Johto	Cipher and Shadow Pokemon Researcher	Hetero	Sub	Bottom	115	40	38	Zapfino #1100FF	Caitlinn Glass/Megumi Sato	Madonna - Frozen	INFP	Leppa berries, Ice types, Foxes	Shadows, Cipher, Arguments	Deep sapphire eyes, blue skin, snow white fur	Quick to flee	50	144	50	70	50	100	96	Dark	Ice	Docile	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Wisp Pendant: Necklace crafted by Storm Fall, automatically turns Shinkage off ~ Falheria's Light: Bracelet that turns off a foe Shadow going in Reverse mode.	Night Slash: (70/AT/Dark) +1 Crit Chance ~ Swords Dance: (Normal) +2 AT ~ Obstruction: (Parry/Dark) -1 DF to foe if hit ~ Play Rough: (90/AT/Fairy) 10% Chance -1 AT to foe	Absolute Zero: (170/AT/Ice) Uses foe's SD, always Freezes	Justified: +1 AT if hit by Dark move	Emotion: Team is immune to Insane, Confusion and Flinching	Shinkage: Turn Shadow type, moves purify Shadow types instead of damaging them. Moves can hit wrong target, but Shinkage can be turned off by calling Yon's name.	Immense attack, and the ability to boost it quickly, gives Yon a Deoxys-like sweeping potential.	Glass cannon, mega evolution unstable.	Crush: Averly Lamanna ~ Adoptive Mother: Hiber Vulcaniam ~ Adopted Daughter: Kouri Fubuki
Absol	Male			36905921																																				
Arceus	Unknown			26732843																																				
Aron Lairon Aggron	Male			52586810																																				
Audino	Female			89068671																																				
Axew Fraxure Haxorus	Male			87181652																																				
Blitzle Zebstrika	Male			80954556																																				
Buizel Floatzel	Male			13395065																																				
Bulbasaur Ivysaur Venusaur	Female			75434977																																				
Buneary Lopunny	Female			54934769																																				
Buzzwole	Unknown			98432349																																				
Celebi	Female			22189436																																				
Charmander Charmeleon Charizard	Female			98361684																																				
Chatot	Male			71964340																																				
Chespin Quilladin Chesnaught	Male			44331636																																				
Chikorita Bayleef Meganium	Female			21751527																																				
